event id,product,event type,success status,failure reason,execution time seconds,region,trigger time
AUTO00222,Voice Solution,Call Summary Generation,Success,,1.64,Mumbai,03-12-2025 09:08
AUTO00223,Voice Solution,Email Trigger,Failed,Messaging Delivery Error,1.51,Hyderabad,25-04-2026 12:04
AUTO00224,Voice Solution,Lead Qualification,Success,,2.24,Mumbai,22-11-2025 14:02
AUTO00225,Voice Solution,Call Summary Generation,Success,,2.2,Chennai,26-06-2026 09:06
AUTO00226,Voice Solution,Lead Qualification,Success,,2.16,Mumbai,07-04-2026 09:28
AUTO00227,Voice Solution,CRM Update,Success,,3.15,Chennai,08-12-2025 20:58
AUTO00228,Voice Solution,WhatsApp Trigger,Failed,Data Validation Error,1.13,Chennai,18-06-2026 19:37
AUTO00229,Voice Solution,Email Trigger,Success,,3.16,Mumbai,21-12-2025 16:05
AUTO00230,Voice Solution,CRM Update,Success,,0.94,Hyderabad,27-11-2025 19:23
AUTO00231,Voice Solution,CRM Update,Success,,2.99,Pune,14-06-2026 10:45
AUTO00232,Voice Solution,Lead Qualification,Success,,0.43,Delhi,05-02-2026 08:50
AUTO00233,Voice Solution,Email Trigger,Success,,1.09,Pune,27-03-2026 19:35
AUTO00234,Voice Solution,CRM Update,Success,,5.22,Mumbai,04-11-2025 13:40
AUTO00235,Voice Solution,Follow-up Trigger,Success,,3.64,Hyderabad,05-12-2025 13:57
AUTO00236,Voice Solution,CRM Update,Success,,3.93,Chennai,11-05-2026 20:40
AUTO00237,Voice Solution,Follow-up Trigger,Success,,8.62,Bangalore,19-12-2025 18:33
AUTO00238,Voice Solution,WhatsApp Trigger,Failed,CRM Sync Error,2.25,Delhi,17-11-2025 10:38
AUTO00239,Voice Solution,Follow-up Trigger,Success,,3.5,Pune,21-04-2026 08:39
AUTO00240,Voice Solution,Follow-up Trigger,Success,,1.7,Hyderabad,08-06-2026 13:09
AUTO00241,Voice Solution,Lead Qualification,Success,,2.42,Delhi,07-04-2026 13:18
AUTO00242,Voice Solution,CRM Update,Success,,3.04,Bangalore,16-12-2025 08:26
AUTO00243,Voice Solution,WhatsApp Trigger,Success,,0.65,Bangalore,06-11-2025 11:08
AUTO00244,Voice Solution,CRM Update,Success,,0.2,Bangalore,07-02-2026 16:29
AUTO00245,Voice Solution,Follow-up Trigger,Success,,2.77,Pune,21-06-2026 09:43
AUTO00246,Voice Solution,Call Summary Generation,Success,,1.59,Mumbai,07-12-2025 15:22
AUTO00247,Voice Solution,Follow-up Trigger,Success,,0.74,Delhi,30-04-2026 17:28
AUTO00248,Voice Solution,CRM Update,Success,,3.88,Mumbai,03-02-2026 13:44
AUTO00249,Voice Solution,WhatsApp Trigger,Success,,2.37,Bangalore,07-02-2026 10:01
AUTO00250,Voice Solution,Call Summary Generation,Success,,2.71,Hyderabad,07-05-2026 13:27
AUTO00251,Voice Solution,WhatsApp Trigger,Success,,1.14,Bangalore,24-02-2026 08:35
AUTO00252,Voice Solution,Lead Qualification,Success,,2.49,Mumbai,10-05-2026 16:41
AUTO00253,Voice Solution,Follow-up Trigger,Success,,3.77,Bangalore,11-07-2026 13:01
AUTO00254,Voice Solution,Follow-up Trigger,Success,,1.1,Bangalore,10-04-2026 19:01
AUTO00255,Voice Solution,Lead Qualification,Success,,0.87,Mumbai,14-07-2026 17:12
AUTO00256,Voice Solution,CRM Update,Success,,7.63,Mumbai,08-03-2026 16:54
AUTO00257,Voice Solution,Follow-up Trigger,Success,,1.07,Hyderabad,18-11-2025 15:18
AUTO00258,Voice Solution,CRM Update,Success,,2.39,Mumbai,11-06-2026 20:50
AUTO00259,Voice Solution,WhatsApp Trigger,Success,,2.14,Hyderabad,24-12-2025 13:44
AUTO00260,Voice Solution,Call Summary Generation,Success,,0.68,Chennai,28-12-2025 09:02
AUTO00261,Voice Solution,Call Summary Generation,Success,,4.11,Chennai,23-04-2026 08:41
AUTO00262,Voice Solution,Call Summary Generation,Success,,4.25,Mumbai,22-02-2026 14:15
AUTO00263,Voice Solution,Email Trigger,Success,,3.9,Bangalore,31-03-2026 10:30
AUTO00264,Voice Solution,Lead Qualification,Success,,2.05,Delhi,07-03-2026 08:46
AUTO00265,Voice Solution,Call Summary Generation,Success,,2.94,Bangalore,04-04-2026 11:31
AUTO00266,Voice Solution,Follow-up Trigger,Failed,API Error,1.3,Mumbai,12-02-2026 19:12
AUTO00267,Voice Solution,Lead Qualification,Success,,2.71,Hyderabad,04-07-2026 08:45
AUTO00268,Voice Solution,WhatsApp Trigger,Success,,4,Bangalore,25-04-2026 14:21
AUTO00269,Voice Solution,WhatsApp Trigger,Success,,4.43,Chennai,09-12-2025 11:15
AUTO00270,Voice Solution,WhatsApp Trigger,Success,,3.07,Pune,19-04-2026 18:08
AUTO00271,Voice Solution,WhatsApp Trigger,Success,,3.92,Mumbai,05-07-2026 19:48
AUTO00272,Voice Solution,Email Trigger,Success,,3.25,Bangalore,26-11-2025 18:12
AUTO00273,Voice Solution,CRM Update,Success,,4.38,Pune,13-11-2025 15:25
AUTO00274,Voice Solution,CRM Update,Success,,2.13,Bangalore,06-12-2025 13:13
AUTO00275,Voice Solution,Call Summary Generation,Success,,1.01,Hyderabad,22-04-2026 15:23
AUTO00276,Voice Solution,Email Trigger,Success,,1.25,Hyderabad,20-11-2025 15:15
AUTO00277,Voice Solution,CRM Update,Success,,1.41,Hyderabad,22-03-2026 17:11
AUTO00278,Voice Solution,WhatsApp Trigger,Success,,7.67,Pune,23-03-2026 10:49
AUTO00279,Voice Solution,CRM Update,Success,,3.39,Delhi,31-01-2026 14:02
AUTO00280,Voice Solution,Lead Qualification,Success,,3.67,Pune,03-06-2026 16:23
AUTO00281,Voice Solution,Call Summary Generation,Success,,5.14,Mumbai,21-12-2025 10:44
AUTO00282,Voice Solution,CRM Update,Success,,0.69,Mumbai,02-04-2026 08:18
AUTO00283,Voice Solution,Lead Qualification,Success,,2.95,Chennai,05-05-2026 17:40
AUTO00284,Voice Solution,Follow-up Trigger,Success,,2.04,Chennai,02-01-2026 16:52
AUTO00285,Voice Solution,Lead Qualification,Success,,5.36,Mumbai,09-05-2026 09:56
AUTO00286,Voice Solution,Lead Qualification,Success,,4.21,Bangalore,05-03-2026 11:36
AUTO00287,Voice Solution,WhatsApp Trigger,Failed,Data Validation Error,3.16,Mumbai,30-03-2026 18:21
AUTO00288,Voice Solution,WhatsApp Trigger,Success,,1.45,Delhi,28-12-2025 16:46
AUTO00289,Voice Solution,Call Summary Generation,Success,,3.45,Chennai,29-04-2026 08:16
AUTO00290,Voice Solution,WhatsApp Trigger,Failed,Timeout,3.1,Chennai,19-04-2026 09:30
AUTO00291,Voice Solution,Lead Qualification,Success,,2.69,Pune,24-12-2025 10:58
AUTO00292,Voice Solution,Email Trigger,Success,,3.44,Chennai,09-02-2026 20:21
AUTO00293,Voice Solution,WhatsApp Trigger,Success,,7.59,Mumbai,23-12-2025 16:07
