interaction_id,product,sales_rep,region,customer_segment,use_case,session_duration_mins,suggestions_generated,suggestions_used,objections_detected,objections_assisted,ai_confidence_percent,customer_sentiment,conversion_status,interaction_date
SHERPA00032,Sherpa AI,Rep 23,Delhi,Mid-Market,Objection Handling,11.6,9,7,2,1,83.9,Positive,Converted,2026-07-26 15:04:28
SHERPA00033,Sherpa AI,Rep 33,Mumbai,SMB,Sales Consultation,9.3,10,7,2,2,87.0,Positive,Not Converted,2026-04-13 14:16:47
SHERPA00034,Sherpa AI,Rep 19,Delhi,Mid-Market,Guided Demo,11.6,7,5,3,2,87.0,Neutral,Follow-up,2026-04-15 09:08:04
SHERPA00035,Sherpa AI,Rep 13,Chennai,SMB,Guided Demo,21.2,6,4,3,3,90.8,Positive,Not Converted,2026-06-22 14:16:48
SHERPA00036,Sherpa AI,Rep 14,Mumbai,Enterprise,Guided Demo,12.2,6,4,4,3,87.7,Positive,Follow-up,2026-03-21 10:11:49
SHERPA00037,Sherpa AI,Rep 32,Chennai,Mid-Market,Service Support,16.0,5,4,2,1,88.1,Neutral,Not Converted,2026-01-07 15:24:57
SHERPA00038,Sherpa AI,Rep 49,Hyderabad,Enterprise,Guided Demo,14.8,10,6,2,2,93.7,Positive,Follow-up,2026-06-24 14:10:08
SHERPA00039,Sherpa AI,Rep 22,Hyderabad,SMB,Service Support,18.7,9,5,4,2,86.1,Positive,Follow-up,2026-04-10 16:14:34
SHERPA00040,Sherpa AI,Rep 20,Hyderabad,Mid-Market,Product Discovery,16.6,5,4,3,2,83.3,Neutral,Follow-up,2026-06-28 14:19:58
SHERPA00041,Sherpa AI,Rep 33,Hyderabad,Mid-Market,Guided Demo,10.8,9,5,6,4,82.6,Neutral,Follow-up,2026-05-10 12:44:45
SHERPA00042,Sherpa AI,Rep 5,Mumbai,SMB,Objection Handling,17.5,6,3,2,2,84.9,Neutral,Not Converted,2026-07-25 10:36:06
SHERPA00043,Sherpa AI,Rep 20,Delhi,SMB,Sales Consultation,13.4,9,5,5,3,83.9,Positive,Follow-up,2026-05-06 09:53:25
SHERPA00044,Sherpa AI,Rep 14,Mumbai,Enterprise,Sales Consultation,18.2,9,5,5,3,86.4,Positive,Not Converted,2026-05-22 13:39:30
SHERPA00045,Sherpa AI,Rep 27,Pune,Enterprise,Product Discovery,20.6,8,4,5,4,87.1,Positive,Follow-up,2026-02-27 18:37:42
SHERPA00046,Sherpa AI,Rep 26,Mumbai,Enterprise,Sales Consultation,11.2,8,4,6,5,88.1,Neutral,Converted,2026-03-13 18:03:00
SHERPA00047,Sherpa AI,Rep 32,Chennai,SMB,Sales Consultation,13.1,10,5,5,4,84.5,Positive,Not Converted,2026-03-27 14:06:43
SHERPA00048,Sherpa AI,Rep 30,Delhi,Enterprise,Product Discovery,8.7,9,4,5,3,90.0,Neutral,Follow-up,2026-01-19 13:20:54
SHERPA00049,Sherpa AI,Rep 27,Bangalore,Mid-Market,Product Discovery,13.8,11,7,4,2,92.3,Positive,Converted,2026-04-21 15:23:32
SHERPA00050,Sherpa AI,Rep 26,Bangalore,Mid-Market,Product Discovery,16.8,6,4,3,2,92.4,Positive,Not Converted,2026-02-16 11:28:34
SHERPA00051,Sherpa AI,Rep 18,Delhi,Mid-Market,Objection Handling,9.9,5,3,3,2,91.1,Positive,Follow-up,2025-11-06 15:21:17
SHERPA00052,Sherpa AI,Rep 45,Bangalore,Enterprise,Product Discovery,9.5,11,5,5,3,83.7,Negative,Converted,2026-05-11 12:29:07
SHERPA00053,Sherpa AI,Rep 23,Delhi,Mid-Market,Product Discovery,17.8,6,3,2,1,85.0,Negative,Not Converted,2026-05-04 15:23:50
SHERPA00054,Sherpa AI,Rep 44,Chennai,Enterprise,Product Discovery,12.6,6,3,3,2,96.0,Negative,Not Converted,2026-01-20 10:50:36
SHERPA00055,Sherpa AI,Rep 47,Chennai,Enterprise,Guided Demo,10.1,4,3,5,4,92.0,Positive,Not Converted,2026-01-01 14:19:48
SHERPA00056,Sherpa AI,Rep 24,Mumbai,Mid-Market,Guided Demo,11.2,5,3,4,2,85.8,Positive,Converted,2026-04-23 16:33:26
SHERPA00057,Sherpa AI,Rep 4,Bangalore,SMB,Objection Handling,8.6,11,6,3,2,84.6,Positive,Converted,2026-04-07 12:08:09
SHERPA00058,Sherpa AI,Rep 41,Delhi,Enterprise,Objection Handling,18.6,6,4,2,2,83.4,Neutral,Converted,2026-02-02 18:04:15
SHERPA00059,Sherpa AI,Rep 3,Chennai,Mid-Market,Sales Consultation,14.1,5,4,4,2,87.4,Positive,Converted,2026-05-11 11:25:39
SHERPA00060,Sherpa AI,Rep 43,Mumbai,Enterprise,Guided Demo,13.6,9,7,2,2,84.7,Positive,Converted,2026-01-09 15:20:13
SHERPA00061,Sherpa AI,Rep 30,Bangalore,SMB,Objection Handling,17.1,11,6,3,3,94.0,Positive,Follow-up,2026-04-10 10:48:10
SHERPA00062,Sherpa AI,Rep 47,Bangalore,SMB,Objection Handling,10.2,10,5,4,2,96.1,Positive,Not Converted,2026-01-21 14:00:54
SHERPA00063,Sherpa AI,Rep 16,Bangalore,SMB,Sales Consultation,13.3,6,4,4,3,84.7,Positive,Follow-up,2026-07-10 10:52:54
SHERPA00064,Sherpa AI,Rep 7,Chennai,Mid-Market,Product Discovery,9.8,8,4,5,4,96.6,Positive,Converted,2026-03-12 13:24:26
SHERPA00065,Sherpa AI,Rep 39,Chennai,Mid-Market,Service Support,12.4,12,6,3,2,85.9,Positive,Not Converted,2026-03-13 09:16:34
SHERPA00066,Sherpa AI,Rep 22,Bangalore,SMB,Sales Consultation,21.7,9,6,4,3,90.5,Positive,Converted,2026-01-29 18:12:45
SHERPA00067,Sherpa AI,Rep 41,Chennai,Enterprise,Service Support,17.3,8,4,3,2,83.4,Neutral,Follow-up,2025-12-19 12:16:02
SHERPA00068,Sherpa AI,Rep 31,Bangalore,SMB,Sales Consultation,15.8,5,3,4,3,94.6,Neutral,Follow-up,2026-02-25 16:40:28
SHERPA00069,Sherpa AI,Rep 49,Hyderabad,SMB,Sales Consultation,19.9,9,4,3,2,94.7,Positive,Follow-up,2025-11-17 18:12:09
SHERPA00070,Sherpa AI,Rep 13,Chennai,Mid-Market,Product Discovery,8.7,10,5,3,2,96.6,Neutral,Converted,2026-01-09 17:31:40
SHERPA00071,Sherpa AI,Rep 41,Delhi,Mid-Market,Objection Handling,19.2,7,5,3,2,88.9,Positive,Follow-up,2026-03-21 16:58:44
SHERPA00072,Sherpa AI,Rep 41,Chennai,SMB,Guided Demo,17.1,8,6,3,2,89.5,Positive,Not Converted,2026-03-31 18:02:46
SHERPA00073,Sherpa AI,Rep 29,Bangalore,Enterprise,Sales Consultation,16.5,6,4,4,2,83.4,Neutral,Follow-up,2026-05-13 12:15:29
SHERPA00074,Sherpa AI,Rep 28,Delhi,Mid-Market,Product Discovery,21.3,10,6,4,2,92.1,Negative,Not Converted,2026-03-29 17:20:58
SHERPA00075,Sherpa AI,Rep 44,Mumbai,Mid-Market,Service Support,16.7,6,3,2,1,90.4,Neutral,Not Converted,2025-12-26 09:57:22
SHERPA00076,Sherpa AI,Rep 19,Delhi,Enterprise,Objection Handling,11.1,8,5,4,2,93.4,Positive,Converted,2026-04-13 11:10:11
SHERPA00077,Sherpa AI,Rep 23,Delhi,Enterprise,Sales Consultation,17.8,6,4,5,3,89.8,Neutral,Not Converted,2025-12-05 15:08:02
SHERPA00078,Sherpa AI,Rep 47,Chennai,Mid-Market,Service Support,9.5,4,2,2,2,92.8,Positive,Converted,2026-02-25 15:02:20
SHERPA00079,Sherpa AI,Rep 50,Pune,Enterprise,Sales Consultation,18.9,7,4,4,3,88.9,Positive,Converted,2025-11-23 10:38:40
SHERPA00080,Sherpa AI,Rep 8,Delhi,SMB,Guided Demo,16.2,10,5,3,3,94.6,Positive,Converted,2026-03-04 09:31:47
SHERPA00081,Sherpa AI,Rep 25,Delhi,Mid-Market,Guided Demo,15.0,9,5,4,4,84.0,Neutral,Follow-up,2025-12-07 12:42:06
SHERPA00082,Sherpa AI,Rep 38,Bangalore,Enterprise,Objection Handling,15.1,8,4,5,4,89.2,Positive,Converted,2026-01-29 16:39:52
SHERPA00083,Sherpa AI,Rep 38,Chennai,Mid-Market,Service Support,13.4,10,5,3,2,83.9,Neutral,Follow-up,2026-02-25 17:24:29
SHERPA00084,Sherpa AI,Rep 35,Bangalore,Enterprise,Guided Demo,20.8,8,6,3,2,96.7,Neutral,Follow-up,2025-12-31 18:15:37
SHERPA00085,Sherpa AI,Rep 26,Chennai,Mid-Market,Product Discovery,9.9,9,5,5,4,88.8,Positive,Follow-up,2025-12-28 10:29:26
SHERPA00086,Sherpa AI,Rep 3,Mumbai,Mid-Market,Objection Handling,20.0,6,4,4,2,92.5,Negative,Follow-up,2026-02-26 15:21:59
SHERPA00087,Sherpa AI,Rep 2,Pune,SMB,Sales Consultation,12.1,9,7,4,2,91.4,Neutral,Follow-up,2026-01-13 11:45:13
SHERPA00088,Sherpa AI,Rep 5,Delhi,Mid-Market,Service Support,15.1,7,5,6,5,96.4,Positive,Converted,2026-05-06 17:40:46
SHERPA00089,Sherpa AI,Rep 20,Chennai,Mid-Market,Service Support,16.0,10,6,2,1,89.2,Positive,Converted,2026-03-18 12:32:35
SHERPA00090,Sherpa AI,Rep 12,Delhi,SMB,Product Discovery,19.9,10,6,5,4,86.3,Neutral,Not Converted,2026-05-03 10:38:02
SHERPA00091,Sherpa AI,Rep 38,Delhi,Mid-Market,Guided Demo,10.8,9,6,1,1,92.1,Positive,Not Converted,2026-06-17 11:24:15
SHERPA00092,Sherpa AI,Rep 16,Hyderabad,Mid-Market,Service Support,17.7,10,5,2,1,94.6,Negative,Converted,2026-04-21 11:51:08
SHERPA00093,Sherpa AI,Rep 37,Bangalore,SMB,Product Discovery,20.2,7,5,1,1,83.5,Positive,Not Converted,2026-05-27 16:18:34
SHERPA00094,Sherpa AI,Rep 38,Pune,Enterprise,Product Discovery,19.0,9,7,4,3,85.6,Positive,Not Converted,2026-06-24 10:47:48
SHERPA00095,Sherpa AI,Rep 36,Chennai,SMB,Sales Consultation,21.4,10,5,4,3,87.8,Negative,Follow-up,2026-01-30 17:28:57
SHERPA00096,Sherpa AI,Rep 46,Mumbai,SMB,Product Discovery,16.7,12,7,4,2,85.8,Negative,Not Converted,2026-03-21 17:46:55
SHERPA00097,Sherpa AI,Rep 29,Pune,Mid-Market,Objection Handling,17.1,10,7,5,4,92.6,Positive,Not Converted,2026-01-10 13:44:55
SHERPA00098,Sherpa AI,Rep 35,Hyderabad,SMB,Service Support,12.1,9,6,3,2,96.5,Neutral,Not Converted,2026-02-24 14:51:07
SHERPA00099,Sherpa AI,Rep 49,Bangalore,SMB,Objection Handling,13.3,5,3,2,1,89.7,Positive,Not Converted,2026-06-25 14:01:40
SHERPA00100,Sherpa AI,Rep 37,Mumbai,SMB,Product Discovery,12.6,7,4,2,1,85.8,Neutral,Follow-up,2026-01-20 12:49:33
SHERPA00101,Sherpa AI,Rep 21,Mumbai,SMB,Product Discovery,21.1,10,5,2,1,82.8,Neutral,Converted,2026-03-20 14:55:40
SHERPA00102,Sherpa AI,Rep 21,Delhi,SMB,Objection Handling,19.0,8,5,3,2,87.4,Positive,Not Converted,2026-02-05 10:17:49
SHERPA00103,Sherpa AI,Rep 28,Bangalore,Enterprise,Sales Consultation,13.8,6,3,2,1,89.6,Positive,Not Converted,2026-06-08 15:36:53
SHERPA00104,Sherpa AI,Rep 6,Hyderabad,Mid-Market,Product Discovery,13.1,7,3,2,1,87.0,Positive,Not Converted,2026-02-23 15:41:05
SHERPA00105,Sherpa AI,Rep 20,Chennai,Enterprise,Objection Handling,21.7,5,3,3,3,94.4,Positive,Converted,2026-02-24 16:53:57
SHERPA00106,Sherpa AI,Rep 36,Chennai,Mid-Market,Objection Handling,16.7,4,3,3,3,91.2,Positive,Converted,2026-02-18 16:26:03
SHERPA00107,Sherpa AI,Rep 13,Hyderabad,SMB,Service Support,13.4,9,6,2,2,96.2,Neutral,Converted,2026-07-08 14:24:17
SHERPA00108,Sherpa AI,Rep 40,Delhi,Enterprise,Sales Consultation,19.2,8,4,5,4,87.6,Positive,Converted,2026-01-12 13:21:17
SHERPA00109,Sherpa AI,Rep 11,Delhi,SMB,Guided Demo,21.3,7,3,5,3,89.7,Positive,Follow-up,2026-01-31 15:16:53
SHERPA00110,Sherpa AI,Rep 24,Mumbai,Enterprise,Objection Handling,17.4,6,5,4,2,83.0,Neutral,Not Converted,2026-03-04 14:27:20
SHERPA00111,Sherpa AI,Rep 19,Bangalore,Enterprise,Service Support,17.8,9,7,3,2,90.1,Positive,Converted,2025-12-18 12:32:16
SHERPA00112,Sherpa AI,Rep 23,Mumbai,Mid-Market,Guided Demo,10.2,12,8,4,4,93.2,Positive,Not Converted,2026-03-24 11:56:26
SHERPA00113,Sherpa AI,Rep 31,Chennai,Enterprise,Service Support,15.8,7,4,1,1,93.9,Positive,Converted,2026-02-24 14:38:16
SHERPA00114,Sherpa AI,Rep 37,Hyderabad,SMB,Service Support,14.1,8,4,2,1,91.5,Neutral,Follow-up,2026-06-12 15:50:33
SHERPA00115,Sherpa AI,Rep 37,Bangalore,Enterprise,Sales Consultation,18.6,4,3,3,2,91.3,Positive,Not Converted,2026-02-03 18:55:24
SHERPA00116,Sherpa AI,Rep 3,Hyderabad,Enterprise,Product Discovery,19.0,9,6,2,2,83.6,Neutral,Follow-up,2026-05-25 11:49:41
SHERPA00117,Sherpa AI,Rep 34,Bangalore,Enterprise,Sales Consultation,17.3,6,3,4,3,87.9,Positive,Converted,2026-01-15 14:21:48
SHERPA00118,Sherpa AI,Rep 29,Pune,Mid-Market,Guided Demo,15.6,8,5,2,1,94.0,Neutral,Follow-up,2026-05-11 17:23:48
SHERPA00119,Sherpa AI,Rep 3,Chennai,Enterprise,Sales Consultation,18.2,10,5,4,3,93.9,Neutral,Converted,2025-12-28 17:06:03
SHERPA00120,Sherpa AI,Rep 15,Chennai,Mid-Market,Product Discovery,8.1,6,5,3,2,83.8,Neutral,Converted,2025-11-08 16:51:26
SHERPA00121,Sherpa AI,Rep 7,Pune,Mid-Market,Sales Consultation,20.6,9,6,6,4,93.2,Positive,Converted,2026-04-29 16:05:51
SHERPA00122,Sherpa AI,Rep 3,Bangalore,Enterprise,Sales Consultation,11.1,6,4,4,3,84.4,Positive,Not Converted,2025-12-14 18:38:41
SHERPA00123,Sherpa AI,Rep 47,Delhi,Enterprise,Sales Consultation,19.9,11,6,2,2,94.8,Neutral,Converted,2026-05-19 18:00:16
SHERPA00124,Sherpa AI,Rep 43,Bangalore,SMB,Objection Handling,8.9,10,8,3,2,86.4,Positive,Not Converted,2026-02-22 15:17:00
SHERPA00125,Sherpa AI,Rep 16,Chennai,Mid-Market,Objection Handling,17.2,5,3,3,2,83.9,Positive,Follow-up,2026-02-10 12:24:54
SHERPA00126,Sherpa AI,Rep 45,Hyderabad,Mid-Market,Sales Consultation,16.6,5,3,5,3,88.8,Neutral,Converted,2026-04-27 18:51:57
SHERPA00127,Sherpa AI,Rep 34,Mumbai,SMB,Product Discovery,14.0,7,4,4,3,86.7,Neutral,Converted,2026-03-09 13:58:21
SHERPA00128,Sherpa AI,Rep 20,Hyderabad,SMB,Product Discovery,19.8,5,3,2,2,88.5,Positive,Follow-up,2026-03-02 10:17:28
SHERPA00129,Sherpa AI,Rep 44,Chennai,SMB,Product Discovery,12.3,6,4,5,3,87.4,Neutral,Not Converted,2026-05-12 11:17:12
SHERPA00130,Sherpa AI,Rep 39,Hyderabad,SMB,Product Discovery,10.0,8,4,4,3,94.9,Neutral,Follow-up,2026-01-11 09:31:54
SHERPA00131,Sherpa AI,Rep 33,Delhi,Enterprise,Service Support,8.3,9,5,6,3,83.1,Positive,Converted,2026-03-15 10:57:05
SHERPA00132,Sherpa AI,Rep 14,Delhi,Enterprise,Sales Consultation,20.7,7,3,3,2,90.9,Neutral,Not Converted,2025-12-31 13:02:06
SHERPA00133,Sherpa AI,Rep 42,Bangalore,Mid-Market,Sales Consultation,13.1,7,4,5,3,93.6,Neutral,Converted,2025-12-20 18:06:04
SHERPA00134,Sherpa AI,Rep 35,Hyderabad,SMB,Service Support,15.1,6,4,4,2,89.0,Negative,Follow-up,2026-01-17 14:27:47
SHERPA00135,Sherpa AI,Rep 11,Hyderabad,Enterprise,Product Discovery,16.6,6,4,4,3,94.1,Positive,Follow-up,2025-12-22 12:25:07
SHERPA00136,Sherpa AI,Rep 20,Chennai,Mid-Market,Guided Demo,17.2,6,4,3,2,96.2,Neutral,Follow-up,2026-04-05 15:05:58
SHERPA00137,Sherpa AI,Rep 30,Bangalore,SMB,Guided Demo,14.8,11,8,3,2,85.3,Positive,Not Converted,2026-04-07 18:26:39
SHERPA00138,Sherpa AI,Rep 28,Bangalore,Mid-Market,Service Support,13.1,5,3,1,1,95.6,Positive,Follow-up,2026-05-12 15:44:35
SHERPA00139,Sherpa AI,Rep 15,Hyderabad,Mid-Market,Guided Demo,17.9,8,5,1,1,86.9,Neutral,Not Converted,2026-04-20 14:53:59
SHERPA00140,Sherpa AI,Rep 38,Mumbai,Mid-Market,Objection Handling,10.4,9,7,5,3,90.2,Positive,Not Converted,2026-03-19 17:45:20
SHERPA00141,Sherpa AI,Rep 50,Hyderabad,Enterprise,Sales Consultation,13.3,10,6,5,4,89.7,Positive,Follow-up,2026-03-21 10:53:31
SHERPA00142,Sherpa AI,Rep 13,Hyderabad,Mid-Market,Guided Demo,14.7,8,5,2,2,89.3,Positive,Converted,2025-11-13 14:28:57
SHERPA00143,Sherpa AI,Rep 47,Hyderabad,Enterprise,Objection Handling,17.0,10,6,2,1,83.2,Positive,Converted,2026-03-11 18:09:04
SHERPA00144,Sherpa AI,Rep 35,Delhi,SMB,Sales Consultation,11.2,6,3,3,2,83.8,Positive,Converted,2026-04-16 14:59:51
SHERPA00145,Sherpa AI,Rep 47,Pune,SMB,Objection Handling,10.3,11,8,4,3,85.2,Positive,Follow-up,2026-03-05 09:28:06
SHERPA00146,Sherpa AI,Rep 24,Bangalore,SMB,Sales Consultation,16.8,11,5,1,1,84.4,Neutral,Converted,2026-03-08 14:49:10
SHERPA00147,Sherpa AI,Rep 1,Pune,SMB,Sales Consultation,21.4,5,3,1,1,84.7,Positive,Converted,2026-05-19 12:15:03
SHERPA00148,Sherpa AI,Rep 42,Delhi,Mid-Market,Guided Demo,12.0,7,4,1,1,91.9,Neutral,Follow-up,2026-07-31 15:06:00
SHERPA00149,Sherpa AI,Rep 24,Mumbai,Enterprise,Service Support,19.6,5,3,5,4,84.6,Neutral,Not Converted,2026-06-10 11:12:21
SHERPA00150,Sherpa AI,Rep 27,Chennai,Enterprise,Guided Demo,11.7,9,6,5,3,91.9,Positive,Converted,2026-04-17 11:19:10
SHERPA00151,Sherpa AI,Rep 18,Mumbai,Mid-Market,Product Discovery,13.4,10,6,3,2,85.4,Neutral,Not Converted,2026-05-09 18:36:14
SHERPA00152,Sherpa AI,Rep 26,Bangalore,SMB,Objection Handling,10.1,5,3,4,3,88.3,Neutral,Follow-up,2026-02-11 15:44:31
SHERPA00153,Sherpa AI,Rep 29,Chennai,SMB,Product Discovery,15.0,4,2,3,2,93.8,Neutral,Converted,2025-11-03 09:42:14
SHERPA00154,Sherpa AI,Rep 8,Pune,Mid-Market,Sales Consultation,20.6,6,4,2,1,94.4,Positive,Not Converted,2026-05-24 13:56:02
SHERPA00155,Sherpa AI,Rep 44,Mumbai,Mid-Market,Guided Demo,15.4,10,7,3,2,82.7,Neutral,Converted,2026-01-29 12:31:14
SHERPA00156,Sherpa AI,Rep 26,Bangalore,Mid-Market,Product Discovery,18.4,7,5,5,3,90.8,Positive,Not Converted,2026-03-22 15:31:38
SHERPA00157,Sherpa AI,Rep 5,Mumbai,Mid-Market,Product Discovery,11.3,8,5,1,1,89.2,Positive,Converted,2025-11-06 16:24:17
SHERPA00158,Sherpa AI,Rep 33,Chennai,SMB,Product Discovery,17.9,11,6,5,3,84.8,Neutral,Converted,2026-05-16 14:30:22
SHERPA00159,Sherpa AI,Rep 40,Chennai,SMB,Sales Consultation,17.6,9,6,2,1,91.8,Positive,Not Converted,2026-06-18 17:26:00
SHERPA00160,Sherpa AI,Rep 5,Mumbai,SMB,Sales Consultation,20.0,7,4,2,2,85.8,Neutral,Follow-up,2026-04-19 15:11:42
SHERPA00161,Sherpa AI,Rep 49,Delhi,SMB,Sales Consultation,13.8,7,4,2,2,93.3,Neutral,Follow-up,2026-02-03 15:06:48
SHERPA00162,Sherpa AI,Rep 47,Mumbai,Mid-Market,Product Discovery,12.3,10,6,3,2,85.8,Neutral,Follow-up,2026-01-06 18:38:47
SHERPA00163,Sherpa AI,Rep 36,Pune,SMB,Objection Handling,18.5,7,5,5,4,91.9,Positive,Not Converted,2026-05-26 16:11:59
SHERPA00164,Sherpa AI,Rep 13,Mumbai,SMB,Guided Demo,12.7,8,5,2,1,88.0,Negative,Converted,2026-04-01 10:02:41
SHERPA00165,Sherpa AI,Rep 17,Mumbai,Mid-Market,Guided Demo,8.1,9,6,5,3,96.5,Neutral,Converted,2026-05-13 09:36:35
SHERPA00166,Sherpa AI,Rep 13,Delhi,Mid-Market,Sales Consultation,11.1,6,3,6,4,83.0,Positive,Follow-up,2026-03-30 13:01:11
SHERPA00167,Sherpa AI,Rep 25,Hyderabad,SMB,Product Discovery,15.3,5,2,3,3,91.2,Positive,Not Converted,2026-04-21 17:18:41
SHERPA00168,Sherpa AI,Rep 2,Chennai,Mid-Market,Objection Handling,14.1,9,6,5,4,91.6,Neutral,Follow-up,2026-01-02 09:15:12
SHERPA00169,Sherpa AI,Rep 24,Pune,Mid-Market,Service Support,16.4,7,5,5,3,82.5,Negative,Converted,2026-03-28 11:08:34
SHERPA00170,Sherpa AI,Rep 36,Bangalore,Mid-Market,Sales Consultation,8.0,6,3,2,1,85.6,Neutral,Converted,2025-11-16 15:56:58
SHERPA00171,Sherpa AI,Rep 25,Chennai,SMB,Service Support,16.2,5,4,4,3,87.9,Neutral,Converted,2026-06-03 18:18:51
SHERPA00172,Sherpa AI,Rep 34,Chennai,Mid-Market,Guided Demo,19.6,9,6,2,1,86.3,Positive,Converted,2026-05-06 15:56:53
SHERPA00173,Sherpa AI,Rep 12,Hyderabad,Mid-Market,Guided Demo,10.7,9,5,5,3,91.1,Positive,Converted,2025-12-31 17:05:54
SHERPA00174,Sherpa AI,Rep 19,Chennai,SMB,Objection Handling,9.0,12,8,3,2,83.6,Positive,Not Converted,2026-03-26 15:54:35
SHERPA00175,Sherpa AI,Rep 50,Chennai,SMB,Objection Handling,19.4,7,5,5,4,95.1,Neutral,Not Converted,2026-04-17 14:25:20
