log_id,product,interactions_processed,avg_response_time_sec,ai_accuracy_percent,confidence_score_percent,compliance_score_percent,uptime_percent,log_date
AILOG00079,Voice Solution,133,1.16,85.14,93.49,94.16,99.112,2026-05-11
AILOG00080,Sherpa AI,153,1.91,86.29,89.91,92.27,99.187,2025-12-26
AILOG00081,Voice Solution,444,1.78,91.38,87.85,94.44,99.563,2025-12-01
AILOG00082,Sherpa AI,332,0.88,98.05,91.39,88.9,98.732,2025-11-01
AILOG00083,Voice Solution,197,0.9,87.14,92.49,95.36,99.409,2026-05-17
AILOG00084,Sherpa AI,44,1.46,92.78,91.53,91.98,99.742,2025-12-15
AILOG00085,Voice Solution,67,2.4,92.59,93.24,87.47,99.228,2025-12-17
AILOG00086,Sherpa AI,299,1.52,79.42,90.4,94.05,99.068,2026-06-10
AILOG00087,Sherpa AI,433,0.84,82.77,86.02,98.64,98.867,2026-01-20
AILOG00088,Voice Solution,362,1.74,98.21,87.48,88.3,99.873,2026-05-08
AILOG00089,Voice Solution,320,1.82,86.72,95.49,93.27,98.615,2025-12-09
AILOG00090,Voice Solution,318,0.83,91.04,90.13,89.13,100.0,2026-01-22
AILOG00091,Voice Solution,91,1.01,90.52,85.49,94.77,99.289,2026-04-25
AILOG00092,Voice Solution,459,2.28,79.42,85.11,96.61,98.781,2025-11-09
AILOG00093,Sherpa AI,220,1.0,85.93,84.64,91.57,99.72,2026-07-16
AILOG00094,Voice Solution,345,2.31,92.27,93.3,92.73,99.554,2026-04-29
AILOG00095,Voice Solution,52,0.79,84.78,91.24,93.55,99.508,2026-04-03
AILOG00096,Voice Solution,116,0.82,87.3,97.38,97.72,99.652,2025-11-15
AILOG00097,Sherpa AI,64,1.82,83.58,92.3,89.81,99.381,2026-01-06
AILOG00098,Voice Solution,282,1.31,85.22,92.55,92.64,99.529,2026-05-06
AILOG00099,Voice Solution,381,1.45,86.63,97.96,98.71,99.98,2026-01-02
AILOG00100,Voice Solution,421,1.9,80.63,86.12,91.82,99.401,2025-12-11
AILOG00101,Voice Solution,89,1.43,94.27,84.0,92.82,99.71,2025-11-28
AILOG00102,Sherpa AI,320,1.18,82.75,92.21,94.54,98.2,2026-06-09
AILOG00103,Sherpa AI,312,2.12,88.22,89.02,100.0,99.462,2026-06-05
AILOG00104,Sherpa AI,424,1.92,85.65,91.19,90.65,100.0,2026-06-10
AILOG00105,Sherpa AI,237,1.83,93.85,94.9,96.27,98.407,2025-12-31
AILOG00106,Sherpa AI,226,1.79,83.45,93.05,90.44,100.0,2026-02-11
AILOG00107,Voice Solution,191,1.28,85.48,96.07,90.98,99.661,2026-05-04
AILOG00108,Voice Solution,265,1.14,82.98,86.37,92.46,98.451,2026-03-27
AILOG00109,Voice Solution,433,1.58,78.16,93.59,95.39,99.32,2026-01-14
AILOG00110,Voice Solution,414,1.29,91.29,86.91,92.35,99.501,2025-11-01
AILOG00111,Voice Solution,275,1.79,89.15,96.68,94.4,99.756,2026-04-11
AILOG00112,Voice Solution,283,1.55,89.99,91.79,91.85,99.082,2025-11-17
AILOG00113,Voice Solution,408,1.81,92.65,92.03,94.24,99.648,2026-07-01
AILOG00114,Voice Solution,283,1.74,89.49,87.67,90.11,99.993,2025-11-19
AILOG00115,Sherpa AI,24,2.95,87.0,87.87,90.18,99.743,2025-12-29
AILOG00116,Sherpa AI,29,0.9,90.17,91.62,92.46,99.897,2026-05-20
AILOG00117,Voice Solution,290,1.68,86.72,96.99,95.83,99.077,2026-02-23
AILOG00118,Sherpa AI,249,1.08,94.01,96.33,94.58,99.643,2026-05-22
AILOG00119,Sherpa AI,331,1.49,87.37,91.43,91.68,100.0,2025-12-01
AILOG00120,Sherpa AI,389,1.27,88.46,88.31,90.61,98.76,2026-05-13
AILOG00121,Voice Solution,74,2.22,91.86,92.29,97.1,99.511,2026-02-14
AILOG00122,Sherpa AI,406,0.84,99.51,95.02,98.09,98.742,2026-03-06
AILOG00123,Voice Solution,60,2.31,84.4,90.85,95.52,99.927,2026-02-11
AILOG00124,Sherpa AI,157,2.14,83.52,88.45,95.07,98.312,2026-04-12
AILOG00125,Sherpa AI,410,3.14,87.9,92.72,87.59,99.016,2026-03-01
AILOG00126,Sherpa AI,466,2.97,85.63,89.04,95.78,100.0,2026-06-28
AILOG00127,Voice Solution,134,1.28,92.15,88.58,98.77,99.053,2026-02-03
AILOG00128,Sherpa AI,82,2.6,89.89,89.78,97.22,99.269,2026-05-27
AILOG00129,Voice Solution,363,1.59,83.96,92.67,97.05,99.923,2026-03-29
AILOG00130,Voice Solution,429,2.0,92.37,89.11,89.03,99.231,2026-05-12
AILOG00131,Voice Solution,53,2.92,97.31,89.85,91.89,98.284,2026-03-22
AILOG00132,Sherpa AI,397,1.31,85.4,90.57,93.57,98.765,2026-05-20
AILOG00133,Sherpa AI,271,1.84,90.46,88.47,91.87,99.959,2026-04-11
AILOG00134,Sherpa AI,475,0.53,79.12,96.2,90.52,100.0,2026-02-17
AILOG00135,Voice Solution,442,2.38,87.34,97.37,95.26,98.296,2026-05-29
AILOG00136,Voice Solution,463,3.17,90.39,88.79,96.99,98.825,2026-03-29
AILOG00137,Voice Solution,216,2.17,88.36,86.81,89.81,98.964,2026-07-14
AILOG00138,Voice Solution,375,2.69,89.51,88.14,97.11,99.11,2026-05-18
AILOG00139,Voice Solution,382,2.54,85.5,91.78,94.67,98.836,2026-05-05
AILOG00140,Voice Solution,429,1.34,94.67,89.66,98.87,99.353,2026-04-14
AILOG00141,Voice Solution,271,2.01,87.15,84.88,96.38,99.013,2026-02-16
AILOG00142,Sherpa AI,81,2.12,83.47,89.38,94.39,99.086,2026-01-22
AILOG00143,Sherpa AI,413,1.04,88.83,91.63,94.41,98.734,2026-01-19
AILOG00144,Sherpa AI,244,2.74,93.15,93.94,94.01,99.692,2026-07-11
AILOG00145,Voice Solution,375,1.47,91.5,97.03,99.46,98.606,2025-11-25
AILOG00146,Voice Solution,73,1.66,86.67,88.21,95.84,99.491,2025-12-21
AILOG00147,Voice Solution,178,1.63,96.98,87.51,92.9,99.802,2026-02-16
AILOG00148,Voice Solution,313,1.82,88.66,89.0,95.71,100.0,2026-06-26
AILOG00149,Sherpa AI,389,3.7,81.29,86.22,95.4,99.55,2026-05-05
AILOG00150,Voice Solution,44,1.41,91.67,87.2,92.73,99.413,2026-01-19
AILOG00151,Sherpa AI,256,0.8,88.38,87.22,91.54,98.455,2026-02-04
AILOG00152,Sherpa AI,480,1.91,88.67,91.31,97.55,100.0,2026-03-30
AILOG00153,Voice Solution,340,1.24,93.0,86.67,93.21,99.371,2025-11-06
AILOG00154,Voice Solution,119,1.53,87.83,93.3,93.04,99.455,2025-11-22
AILOG00155,Sherpa AI,247,2.2,87.69,94.6,95.75,99.498,2026-06-08
AILOG00156,Sherpa AI,197,1.09,83.36,85.5,92.45,99.357,2025-11-12
AILOG00157,Sherpa AI,427,1.56,86.62,84.78,94.69,99.304,2026-05-11
AILOG00158,Sherpa AI,174,1.99,90.1,87.86,92.86,99.118,2026-06-13
AILOG00159,Voice Solution,485,1.29,86.35,88.39,86.26,99.663,2026-04-16
AILOG00160,Voice Solution,453,1.77,81.49,95.06,95.16,98.55,2026-02-24
AILOG00161,Voice Solution,258,1.99,91.93,89.8,94.79,98.539,2026-03-28
AILOG00162,Voice Solution,453,1.72,92.12,91.68,95.06,98.876,2025-12-06
AILOG00163,Voice Solution,162,1.9,92.15,91.67,87.77,99.924,2026-07-03
AILOG00164,Voice Solution,36,2.03,84.84,86.48,89.95,99.523,2026-03-10
AILOG00165,Sherpa AI,304,1.36,88.91,89.0,97.49,98.983,2026-06-28
AILOG00166,Sherpa AI,24,0.85,90.08,89.95,94.22,98.9,2026-02-13
AILOG00167,Voice Solution,30,1.13,91.68,91.51,88.32,99.26,2026-04-16
AILOG00168,Voice Solution,227,1.02,91.78,84.26,94.25,99.5,2025-12-12
AILOG00169,Sherpa AI,455,2.6,82.64,87.62,89.29,99.98,2026-07-12
AILOG00170,Voice Solution,437,0.67,96.75,90.05,92.28,100.0,2026-05-24
AILOG00171,Sherpa AI,100,2.21,83.56,88.24,94.76,99.237,2026-05-14
AILOG00172,Sherpa AI,52,1.36,81.66,84.39,94.77,100.0,2026-04-20
AILOG00173,Voice Solution,324,2.47,75.8,87.11,97.02,99.34,2026-07-08
AILOG00174,Voice Solution,396,1.53,92.14,84.43,95.4,99.451,2026-02-12
AILOG00175,Sherpa AI,178,1.82,95.52,95.52,95.58,99.789,2025-12-09
AILOG00176,Voice Solution,293,2.14,86.15,88.72,92.86,99.862,2026-06-24
AILOG00177,Voice Solution,134,2.62,81.04,89.74,91.45,100.0,2026-03-14
AILOG00178,Voice Solution,236,1.43,92.94,86.08,94.15,98.657,2026-07-10
AILOG00179,Sherpa AI,280,1.4,83.16,90.92,97.06,99.361,2026-04-19
AILOG00180,Voice Solution,177,2.13,91.79,92.78,96.48,99.928,2026-05-26
AILOG00181,Sherpa AI,64,0.77,84.84,86.34,93.4,98.766,2026-03-23
AILOG00182,Voice Solution,139,0.68,87.02,86.43,93.82,98.364,2025-11-19
AILOG00183,Voice Solution,234,2.04,90.44,88.02,91.29,98.557,2026-05-09
AILOG00184,Sherpa AI,147,2.23,90.47,84.4,97.45,99.239,2026-01-03
AILOG00185,Voice Solution,273,2.02,89.48,91.52,98.85,100.0,2026-06-18
AILOG00186,Voice Solution,57,1.74,95.62,93.04,95.32,98.546,2026-04-24
AILOG00187,Voice Solution,384,1.45,96.71,84.27,89.09,98.717,2025-11-20
AILOG00188,Voice Solution,229,2.83,97.07,93.52,96.02,99.048,2026-06-14
AILOG00189,Voice Solution,371,2.92,88.21,93.53,98.96,98.803,2026-06-19
AILOG00190,Sherpa AI,113,1.87,89.48,78.64,90.64,98.713,2026-02-09
AILOG00191,Sherpa AI,48,1.36,95.2,85.59,96.54,98.281,2026-06-15
AILOG00192,Sherpa AI,183,1.14,86.07,87.57,93.44,99.036,2025-12-08
AILOG00193,Sherpa AI,156,2.08,87.07,92.27,97.73,100.0,2026-01-04
AILOG00194,Sherpa AI,42,1.0,89.09,91.75,90.53,99.577,2026-01-15
AILOG00195,Sherpa AI,150,1.02,88.91,86.3,92.7,99.888,2026-05-11
AILOG00196,Sherpa AI,105,1.49,87.71,96.5,89.3,98.998,2026-03-03
AILOG00197,Voice Solution,203,2.13,84.79,87.2,95.02,98.879,2026-03-05
AILOG00198,Voice Solution,443,2.75,92.84,86.66,95.66,99.561,2025-11-27
AILOG00199,Sherpa AI,256,1.96,87.26,85.36,95.03,99.342,2026-02-11
AILOG00200,Voice Solution,203,2.12,89.7,89.29,92.45,99.272,2025-12-30
AILOG00201,Sherpa AI,333,2.44,88.97,93.62,92.68,100.0,2026-04-17
AILOG00202,Voice Solution,178,2.38,92.04,86.39,93.02,98.897,2026-01-22
AILOG00203,Voice Solution,489,1.44,91.05,90.83,96.66,98.828,2025-11-06
AILOG00204,Sherpa AI,30,2.37,87.85,90.81,89.64,99.726,2026-04-13
AILOG00205,Voice Solution,61,2.47,87.13,89.87,92.98,99.659,2026-05-21
AILOG00206,Sherpa AI,254,2.0,88.5,91.29,89.58,98.778,2026-04-26
AILOG00207,Sherpa AI,150,1.89,84.01,93.62,92.77,99.34,2026-04-05
AILOG00208,Sherpa AI,204,2.19,85.38,91.09,93.96,98.403,2026-02-10
AILOG00209,Voice Solution,33,2.12,91.39,94.19,100.0,99.449,2026-01-19
AILOG00210,Voice Solution,321,0.59,90.35,85.6,92.0,99.066,2026-05-13
AILOG00211,Voice Solution,273,2.08,84.65,88.23,97.08,99.177,2026-01-30
AILOG00212,Sherpa AI,166,2.57,88.46,85.6,88.87,98.73,2026-01-06
AILOG00213,Voice Solution,399,2.44,81.97,92.19,94.12,99.897,2026-06-03
AILOG00214,Voice Solution,79,2.05,89.61,94.89,94.11,99.431,2026-03-25
AILOG00215,Voice Solution,434,1.9,87.49,88.76,96.24,99.797,2025-12-10
AILOG00216,Voice Solution,311,1.54,98.43,91.13,92.36,99.248,2026-05-31
AILOG00217,Sherpa AI,179,1.73,91.64,84.02,91.65,99.895,2025-12-29
AILOG00218,Voice Solution,466,2.27,84.71,90.09,87.76,98.366,2025-11-28
AILOG00219,Voice Solution,45,2.05,84.65,83.31,94.99,99.303,2025-12-17
AILOG00220,Sherpa AI,84,2.39,91.87,90.24,92.07,99.898,2026-06-25
AILOG00221,Sherpa AI,405,1.46,92.96,82.31,97.08,98.309,2026-02-25
AILOG00222,Sherpa AI,89,2.5,97.36,96.78,95.54,99.365,2026-03-31
AILOG00223,Sherpa AI,401,1.4,94.2,89.8,97.56,99.589,2026-01-22
AILOG00224,Voice Solution,192,1.93,91.15,89.64,91.38,99.108,2025-12-27
AILOG00225,Voice Solution,481,1.43,95.4,97.63,94.61,99.797,2026-06-05
AILOG00226,Sherpa AI,495,1.74,89.34,90.26,94.57,99.802,2026-06-08
AILOG00227,Sherpa AI,244,3.12,89.14,83.56,92.51,98.991,2026-06-30
AILOG00228,Sherpa AI,172,2.13,83.54,88.28,97.69,99.107,2026-02-07
AILOG00229,Sherpa AI,59,1.95,95.79,97.78,96.34,98.719,2026-06-30
AILOG00230,Sherpa AI,165,2.72,89.6,86.42,100.0,99.459,2026-05-22
AILOG00231,Voice Solution,385,0.25,88.56,88.24,96.08,99.401,2025-12-07
AILOG00232,Voice Solution,117,1.7,85.43,96.19,99.61,99.301,2026-07-04
AILOG00233,Sherpa AI,267,1.48,94.51,86.92,99.54,99.35,2026-03-08
AILOG00234,Sherpa AI,31,1.24,93.44,89.62,92.53,98.871,2026-03-15
AILOG00235,Sherpa AI,494,0.81,84.94,95.4,89.59,98.586,2026-01-03
AILOG00236,Sherpa AI,43,1.66,91.3,87.7,99.06,99.522,2025-11-29
AILOG00237,Voice Solution,244,2.25,92.58,86.81,96.08,99.201,2026-06-14
AILOG00238,Voice Solution,264,1.7,83.39,82.63,95.56,98.784,2025-12-30
AILOG00239,Voice Solution,482,2.32,91.89,85.59,92.65,98.937,2025-12-24
AILOG00240,Sherpa AI,190,1.85,90.98,86.47,95.19,99.759,2026-03-29
AILOG00241,Voice Solution,51,2.56,91.8,88.55,97.05,99.731,2025-12-28
AILOG00242,Voice Solution,133,1.47,97.94,91.43,95.98,99.631,2025-12-06
AILOG00243,Sherpa AI,228,0.58,99.9,89.82,92.16,99.279,2026-03-25
AILOG00244,Voice Solution,322,0.77,94.56,85.07,98.63,98.959,2026-07-08
AILOG00245,Sherpa AI,448,1.48,90.17,95.44,94.37,99.961,2026-01-19
AILOG00246,Voice Solution,54,1.23,91.87,85.59,96.04,99.138,2025-11-15
AILOG00247,Voice Solution,224,1.42,90.95,97.21,96.52,99.435,2025-12-10
AILOG00248,Sherpa AI,397,2.54,99.58,90.61,100.0,98.875,2026-01-20
AILOG00249,Sherpa AI,403,0.82,89.62,94.18,95.24,99.181,2026-05-12
AILOG00250,Voice Solution,412,2.78,87.14,92.12,93.84,97.967,2026-04-15
AILOG00251,Sherpa AI,285,1.28,91.47,96.02,99.74,98.986,2026-05-23
AILOG00252,Voice Solution,84,0.99,98.39,89.83,97.32,98.538,2026-05-30
AILOG00253,Voice Solution,462,1.71,84.64,88.93,94.92,99.409,2026-07-16
AILOG00254,Voice Solution,117,2.77,85.98,91.22,94.73,99.002,2026-02-23
AILOG00255,Sherpa AI,204,1.34,85.73,88.9,88.12,99.149,2026-06-21
AILOG00256,Voice Solution,257,1.41,83.61,91.81,93.74,100.0,2026-01-16
AILOG00257,Voice Solution,492,1.45,84.72,96.2,89.79,98.789,2026-02-04
AILOG00258,Sherpa AI,489,2.55,93.23,83.24,85.99,99.361,2026-02-06
AILOG00259,Voice Solution,285,1.51,89.99,89.7,92.21,99.41,2025-12-26
AILOG00260,Voice Solution,493,2.09,83.18,98.8,89.86,98.825,2026-02-26
AILOG00261,Voice Solution,422,1.88,92.09,88.44,92.93,99.852,2026-02-27
AILOG00262,Sherpa AI,251,1.73,90.55,94.05,94.92,100.0,2025-12-08
AILOG00263,Voice Solution,128,1.48,93.28,93.48,95.53,99.9,2026-05-04
AILOG00264,Sherpa AI,197,3.08,86.28,84.25,93.67,98.823,2026-06-30
AILOG00265,Voice Solution,268,3.61,83.48,91.19,90.13,98.949,2025-12-21
AILOG00266,Voice Solution,343,1.23,92.06,90.88,93.64,98.287,2026-03-07
AILOG00267,Sherpa AI,379,1.1,92.71,99.9,90.8,99.209,2026-02-11
AILOG00268,Voice Solution,24,1.83,84.03,79.5,98.21,99.245,2026-06-17
AILOG00269,Sherpa AI,176,0.32,90.07,83.52,93.56,99.69,2026-05-30
AILOG00270,Voice Solution,249,1.83,86.23,89.09,90.58,100.0,2026-01-24
AILOG00271,Voice Solution,135,3.1,93.37,88.57,90.85,98.671,2025-11-27
AILOG00272,Voice Solution,280,1.41,91.98,86.47,94.02,99.369,2026-01-11
AILOG00273,Voice Solution,335,2.5,94.48,86.72,94.17,99.187,2026-02-03
AILOG00274,Voice Solution,340,2.76,85.21,92.74,93.42,99.224,2026-01-15
AILOG00275,Voice Solution,146,1.24,85.9,86.64,96.98,100.0,2025-11-06
AILOG00276,Voice Solution,47,1.92,87.33,87.84,91.12,99.348,2026-01-29
AILOG00277,Voice Solution,358,2.03,86.61,93.99,97.01,99.575,2026-01-19
AILOG00278,Voice Solution,247,2.27,90.66,93.37,93.72,99.537,2026-06-10
AILOG00279,Voice Solution,148,2.32,84.15,88.09,96.59,99.409,2026-01-22
AILOG00280,Voice Solution,48,2.53,95.85,84.14,92.12,98.916,2026-01-21
AILOG00281,Voice Solution,198,1.29,96.85,93.52,96.33,100.0,2026-04-01
AILOG00282,Sherpa AI,183,1.91,93.99,86.24,91.58,99.283,2025-12-15
AILOG00283,Sherpa AI,179,2.76,91.25,95.17,98.94,99.566,2026-05-31
AILOG00284,Sherpa AI,339,2.83,88.45,91.68,93.76,99.427,2026-01-10
AILOG00285,Voice Solution,417,1.95,89.85,89.23,92.71,98.244,2025-12-28
AILOG00286,Voice Solution,307,1.45,85.6,91.75,90.48,98.779,2025-12-27
AILOG00287,Voice Solution,284,2.47,89.71,82.19,94.51,99.357,2026-02-19
AILOG00288,Sherpa AI,486,2.15,90.51,95.92,93.55,98.875,2026-03-22
AILOG00289,Voice Solution,414,2.13,85.29,89.16,89.99,99.502,2025-12-26
AILOG00290,Voice Solution,451,2.3,96.3,90.67,91.79,98.845,2025-11-12
AILOG00291,Voice Solution,454,1.18,88.62,87.69,88.14,99.308,2025-11-15
AILOG00292,Sherpa AI,407,2.35,84.37,89.32,90.61,98.446,2025-11-08
AILOG00293,Sherpa AI,316,1.9,88.08,96.39,93.63,99.718,2026-06-19
AILOG00294,Voice Solution,44,2.54,86.29,88.92,95.06,99.525,2026-05-05
AILOG00295,Voice Solution,164,1.81,85.22,88.33,93.03,99.549,2025-12-23
AILOG00296,Sherpa AI,194,2.18,96.07,92.73,95.41,99.255,2026-03-17
AILOG00297,Voice Solution,27,2.1,89.04,91.24,91.12,98.951,2026-04-23
AILOG00298,Voice Solution,333,1.45,93.63,96.22,95.33,100.0,2026-06-07
AILOG00299,Sherpa AI,128,1.21,90.85,81.94,93.77,100.0,2026-07-13
AILOG00300,Voice Solution,148,2.32,91.14,88.16,93.38,99.264,2026-01-14
AILOG00301,Voice Solution,21,1.24,88.94,84.3,93.99,99.014,2026-06-12
AILOG00302,Voice Solution,29,1.58,87.06,94.93,92.2,98.436,2026-01-31
AILOG00303,Sherpa AI,366,1.56,94.85,84.83,89.4,99.413,2026-03-14
AILOG00304,Voice Solution,136,2.04,91.94,91.32,90.86,98.966,2026-04-12
AILOG00305,Sherpa AI,430,2.24,88.19,84.77,89.76,99.06,2026-05-17
AILOG00306,Sherpa AI,416,0.79,93.47,88.0,93.32,99.782,2026-05-08
AILOG00307,Sherpa AI,338,1.33,95.8,86.02,96.05,98.819,2026-01-12
AILOG00308,Sherpa AI,30,1.3,90.65,89.97,98.45,100.0,2026-05-25
AILOG00309,Voice Solution,417,1.65,95.98,98.11,92.62,98.791,2025-12-01
AILOG00310,Voice Solution,115,0.51,86.85,84.3,93.52,98.277,2026-02-27
AILOG00311,Sherpa AI,483,2.54,84.95,85.45,99.65,98.971,2026-04-08
AILOG00312,Sherpa AI,399,1.84,87.46,92.39,92.79,99.478,2026-07-13
AILOG00313,Voice Solution,112,1.71,89.19,89.39,92.12,99.368,2026-07-03
AILOG00314,Sherpa AI,121,2.29,96.0,84.91,93.61,99.392,2026-02-14
AILOG00315,Voice Solution,117,2.14,87.29,88.12,92.73,99.161,2026-05-17
AILOG00316,Voice Solution,301,2.13,90.73,83.95,91.96,99.049,2026-02-28
AILOG00317,Sherpa AI,472,1.79,93.95,88.04,89.78,98.68,2026-01-21
AILOG00318,Voice Solution,486,1.87,91.1,86.11,98.78,99.365,2026-05-06
AILOG00319,Voice Solution,314,2.35,86.78,91.24,95.65,99.828,2025-12-22
