account id,lead source,product interested,sales stage,followup required,deal value inr,account manager,region,last updated
ACC0133,LinkedIn,Voice Solution,Closed Won,No,375079,Manager E,Bangalore,16-11-2025
ACC0134,Outbound,Sherpa AI,Qualified,Yes,668323,Manager E,Hyderabad,14-11-2025
ACC0135,LinkedIn,Voice Solution,Proposal,No,488831,Manager F,Bangalore,04-11-2025
ACC0136,Outbound,Sherpa AI,Qualified,No,2031264,Manager C,Bangalore,07-03-2026
ACC0137,Event,Voice Solution,Demo,No,380684,Manager E,Bangalore,06-11-2025
ACC0138,Event,Voice Solution,Proposal,Yes,935134,Manager A,Mumbai,09-03-2026
ACC0139,LinkedIn,Sherpa AI,Proposal,Yes,1226859,Manager C,Bangalore,20-06-2026
ACC0140,Outbound,Voice Solution,Demo,No,831401,Manager B,Hyderabad,14-05-2026
ACC0141,Event,Sherpa AI,Demo,No,1915689,Manager E,Mumbai,04-01-2026
ACC0142,Referral,Sherpa AI,Discovery,No,1054411,Manager D,Hyderabad,11-02-2026
ACC0143,Outbound,Voice Solution,Demo,Yes,2343445,Manager A,Mumbai,07-04-2026
ACC0144,Event,Sherpa AI,Closed Lost,No,631375,Manager A,Chennai,12-06-2026
ACC0145,Inbound,Sherpa AI,Closed Won,Yes,2153078,Manager E,Chennai,01-05-2026
ACC0146,Inbound,Voice Solution,Qualified,Yes,1433509,Manager F,Chennai,04-11-2025
ACC0147,Referral,Sherpa AI,Qualified,Yes,1597815,Manager B,Chennai,03-06-2026
ACC0148,Event,Voice Solution,Closed Lost,Yes,1806135,Manager D,Mumbai,05-06-2026
ACC0149,Inbound,Voice Solution,Proposal,No,2022281,Manager B,Bangalore,28-05-2026
ACC0150,Outbound,Sherpa AI,Proposal,Yes,2312462,Manager B,Delhi,13-01-2026
ACC0151,Partner,Sherpa AI,Closed Won,No,2344968,Manager E,Pune,15-06-2026
ACC0152,Event,Sherpa AI,Demo,Yes,286589,Manager D,Delhi,01-02-2026
ACC0153,Referral,Sherpa AI,Proposal,Yes,2295383,Manager E,Chennai,04-01-2026
ACC0154,Event,Sherpa AI,Closed Lost,Yes,567153,Manager E,Bangalore,10-11-2025
ACC0155,LinkedIn,Sherpa AI,Negotiation,Yes,600642,Manager F,Hyderabad,25-01-2026
ACC0156,LinkedIn,Voice Solution,Qualified,Yes,1570952,Manager A,Bangalore,26-11-2025
ACC0157,Inbound,Voice Solution,Qualified,No,653560,Manager F,Hyderabad,06-06-2026
ACC0158,LinkedIn,Voice Solution,Discovery,No,1726885,Manager F,Delhi,03-02-2026
ACC0159,Referral,Sherpa AI,Closed Won,Yes,321120,Manager E,Bangalore,02-07-2026
ACC0160,Inbound,Voice Solution,Discovery,Yes,1182221,Manager F,Bangalore,15-02-2026
ACC0161,Referral,Voice Solution,Qualified,Yes,121179,Manager F,Pune,06-07-2026
ACC0162,Outbound,Voice Solution,Closed Lost,No,634979,Manager C,Delhi,14-11-2025
ACC0163,Referral,Sherpa AI,Discovery,Yes,753724,Manager D,Bangalore,10-04-2026
ACC0164,LinkedIn,Sherpa AI,Qualified,Yes,1380475,Manager A,Hyderabad,10-01-2026
ACC0165,Outbound,Voice Solution,Discovery,Yes,1506101,Manager D,Bangalore,01-04-2026
ACC0166,LinkedIn,Voice Solution,Discovery,No,911399,Manager A,Hyderabad,14-01-2026
ACC0167,Referral,Voice Solution,Demo,Yes,652766,Manager C,Chennai,03-06-2026
ACC0168,LinkedIn,Voice Solution,Closed Lost,Yes,1597567,Manager E,Bangalore,21-12-2025
ACC0169,LinkedIn,Voice Solution,Closed Won,No,1088128,Manager A,Hyderabad,23-03-2026
ACC0170,LinkedIn,Sherpa AI,Demo,No,402476,Manager A,Delhi,06-12-2025
ACC0171,Event,Sherpa AI,Demo,No,2243052,Manager A,Chennai,16-04-2026
ACC0172,Outbound,Voice Solution,Proposal,Yes,2418293,Manager C,Bangalore,24-06-2026
ACC0173,Outbound,Voice Solution,Discovery,No,2156125,Manager D,Pune,18-07-2026
ACC0174,Outbound,Voice Solution,Qualified,No,2324013,Manager C,Hyderabad,11-05-2026
ACC0175,Referral,Voice Solution,Closed Lost,No,817940,Manager A,Pune,21-05-2026
ACC0176,Partner,Voice Solution,Discovery,No,269173,Manager F,Bangalore,04-05-2026
ACC0177,Referral,Voice Solution,Discovery,No,1304707,Manager A,Hyderabad,07-04-2026
ACC0178,Outbound,Voice Solution,Proposal,Yes,2031792,Manager F,Bangalore,04-07-2026
ACC0179,Inbound,Sherpa AI,Proposal,Yes,644991,Manager E,Chennai,18-02-2026
ACC0180,LinkedIn,Sherpa AI,Qualified,No,990125,Manager C,Chennai,07-02-2026
ACC0181,LinkedIn,Sherpa AI,Qualified,Yes,554633,Manager F,Bangalore,29-06-2026
ACC0182,Partner,Voice Solution,Demo,Yes,814588,Manager C,Bangalore,21-05-2026
ACC0183,Inbound,Sherpa AI,Negotiation,Yes,2099491,Manager B,Mumbai,02-03-2026
ACC0184,Event,Sherpa AI,Discovery,No,368662,Manager D,Bangalore,25-02-2026
ACC0185,Referral,Voice Solution,Demo,Yes,269563,Manager B,Bangalore,04-02-2026
ACC0186,Event,Voice Solution,Proposal,No,1287594,Manager F,Pune,22-06-2026
ACC0187,Inbound,Voice Solution,Closed Won,Yes,1673474,Manager B,Pune,06-01-2026
ACC0188,Partner,Voice Solution,Demo,Yes,396455,Manager D,Chennai,06-06-2026
ACC0189,Inbound,Voice Solution,Qualified,Yes,1274995,Manager F,Pune,15-11-2025
ACC0190,Partner,Voice Solution,Proposal,Yes,1934865,Manager E,Bangalore,07-06-2026
ACC0191,Event,Voice Solution,Negotiation,Yes,2427994,Manager E,Delhi,27-03-2026
ACC0192,Event,Voice Solution,Qualified,Yes,1621984,Manager D,Bangalore,01-04-2026
ACC0193,Inbound,Voice Solution,Demo,Yes,335612,Manager D,Mumbai,15-11-2025
ACC0194,Inbound,Sherpa AI,Qualified,No,343095,Manager F,Hyderabad,23-01-2026
ACC0195,LinkedIn,Voice Solution,Qualified,Yes,694360,Manager C,Chennai,11-05-2026
ACC0196,Partner,Sherpa AI,Proposal,No,739695,Manager F,Pune,11-12-2025
ACC0197,LinkedIn,Voice Solution,Discovery,Yes,2447592,Manager C,Delhi,16-03-2026
ACC0198,Referral,Voice Solution,Closed Won,No,1191550,Manager C,Hyderabad,14-02-2026
ACC0199,Referral,Voice Solution,Proposal,Yes,1643738,Manager C,Delhi,07-11-2025
ACC0200,Inbound,Voice Solution,Demo,No,1062334,Manager F,Chennai,30-11-2025
ACC0201,Event,Voice Solution,Demo,No,1754847,Manager A,Pune,06-03-2026
ACC0202,Referral,Voice Solution,Proposal,No,986469,Manager A,Mumbai,18-01-2026
ACC0203,Referral,Voice Solution,Qualified,Yes,1616189,Manager E,Chennai,06-01-2026
ACC0204,LinkedIn,Sherpa AI,Closed Won,No,1365462,Manager A,Delhi,23-11-2025
ACC0205,LinkedIn,Voice Solution,Closed Lost,Yes,995719,Manager A,Delhi,08-05-2026
ACC0206,Referral,Sherpa AI,Discovery,Yes,243977,Manager C,Chennai,13-01-2026
ACC0207,Inbound,Voice Solution,Qualified,Yes,2196109,Manager C,Bangalore,05-11-2025
ACC0208,LinkedIn,Sherpa AI,Qualified,Yes,1662570,Manager D,Chennai,21-01-2026
ACC0209,Referral,Voice Solution,Negotiation,Yes,1956609,Manager C,Pune,25-11-2025
ACC0210,Event,Sherpa AI,Negotiation,No,2415323,Manager F,Pune,02-11-2025
ACC0211,LinkedIn,Sherpa AI,Closed Won,Yes,2090124,Manager D,Mumbai,12-06-2026
ACC0212,Referral,Sherpa AI,Closed Won,Yes,373390,Manager D,Chennai,11-01-2026
ACC0213,Partner,Voice Solution,Demo,Yes,364602,Manager A,Hyderabad,07-01-2026
ACC0214,LinkedIn,Sherpa AI,Negotiation,No,1667737,Manager C,Pune,02-02-2026
ACC0215,Partner,Voice Solution,Negotiation,Yes,1338155,Manager A,Pune,19-11-2025
ACC0216,LinkedIn,Sherpa AI,Proposal,Yes,1154604,Manager C,Pune,08-03-2026
ACC0217,LinkedIn,Voice Solution,Proposal,No,1383399,Manager A,Bangalore,21-01-2026
ACC0218,Outbound,Voice Solution,Negotiation,Yes,2194716,Manager A,Hyderabad,12-07-2026
ACC0219,Outbound,Voice Solution,Proposal,Yes,2428476,Manager A,Chennai,09-06-2026
ACC0220,Partner,Voice Solution,Negotiation,Yes,914110,Manager F,Bangalore,05-02-2026
ACC0221,Inbound,Sherpa AI,Negotiation,No,976876,Manager E,Pune,22-12-2025
ACC0222,Referral,Sherpa AI,Negotiation,No,374507,Manager A,Hyderabad,24-04-2026
ACC0223,Inbound,Sherpa AI,Negotiation,Yes,1818002,Manager B,Hyderabad,01-05-2026
ACC0224,Inbound,Sherpa AI,Proposal,Yes,2260956,Manager B,Bangalore,23-02-2026
ACC0225,Outbound,Sherpa AI,Negotiation,Yes,1263009,Manager B,Pune,01-11-2025
ACC0226,Referral,Voice Solution,Demo,No,2245696,Manager F,Bangalore,02-01-2026
ACC0227,Outbound,Voice Solution,Discovery,No,898184,Manager D,Delhi,06-07-2026
ACC0228,Outbound,Voice Solution,Qualified,Yes,1400344,Manager A,Pune,19-06-2026
ACC0229,Outbound,Voice Solution,Proposal,Yes,1156058,Manager B,Bangalore,14-06-2026
ACC0230,Event,Voice Solution,Proposal,No,1673663,Manager F,Chennai,19-11-2025
ACC0231,Inbound,Voice Solution,Closed Lost,No,503150,Manager D,Pune,01-12-2025
ACC0232,Inbound,Voice Solution,Demo,No,1468278,Manager B,Mumbai,01-03-2026
ACC0233,Inbound,Voice Solution,Demo,Yes,1469943,Manager C,Pune,24-11-2025
ACC0234,Event,Sherpa AI,Discovery,No,503125,Manager E,Delhi,30-05-2026
ACC0235,LinkedIn,Voice Solution,Qualified,Yes,1240043,Manager A,Bangalore,10-04-2026
ACC0236,Partner,Voice Solution,Closed Won,Yes,715692,Manager E,Mumbai,13-07-2026
ACC0237,Partner,Voice Solution,Discovery,Yes,1883318,Manager E,Delhi,29-12-2025
ACC0238,Event,Voice Solution,Proposal,No,1569805,Manager C,Chennai,22-02-2026
ACC0239,Inbound,Voice Solution,Negotiation,Yes,203018,Manager C,Pune,09-04-2026
ACC0240,Partner,Voice Solution,Proposal,Yes,253947,Manager C,Mumbai,08-06-2026
ACC0241,Event,Voice Solution,Closed Won,Yes,321325,Manager D,Bangalore,18-04-2026
ACC0242,Outbound,Voice Solution,Demo,Yes,135607,Manager B,Bangalore,12-11-2025
ACC0243,Referral,Voice Solution,Discovery,No,161684,Manager A,Chennai,30-06-2026
ACC0244,Partner,Voice Solution,Closed Won,Yes,1962334,Manager C,Delhi,19-03-2026
ACC0245,Referral,Sherpa AI,Closed Won,Yes,637889,Manager F,Mumbai,05-02-2026
ACC0246,Inbound,Voice Solution,Discovery,No,1797458,Manager A,Chennai,27-03-2026
ACC0247,Partner,Voice Solution,Qualified,Yes,1826677,Manager A,Delhi,01-05-2026
ACC0248,Event,Voice Solution,Qualified,No,1158677,Manager A,Hyderabad,27-12-2025
ACC0249,LinkedIn,Sherpa AI,Discovery,No,1298279,Manager C,Hyderabad,12-12-2025
ACC0250,Partner,Voice Solution,Closed Lost,No,1775684,Manager C,Delhi,18-05-2026
ACC0251,Partner,Sherpa AI,Proposal,No,1578662,Manager B,Bangalore,01-12-2025
ACC0252,Partner,Sherpa AI,Demo,Yes,520431,Manager C,Bangalore,29-04-2026
ACC0253,Partner,Voice Solution,Closed Won,Yes,1734974,Manager C,Hyderabad,02-11-2025
ACC0254,Event,Voice Solution,Demo,Yes,2216367,Manager A,Bangalore,18-03-2026
ACC0255,Event,Voice Solution,Demo,Yes,1895054,Manager B,Bangalore,13-02-2026
ACC0256,LinkedIn,Voice Solution,Closed Lost,Yes,769384,Manager E,Delhi,06-06-2026
ACC0257,Event,Voice Solution,Closed Won,Yes,176949,Manager C,Pune,10-06-2026
ACC0258,Event,Voice Solution,Closed Won,No,1102486,Manager F,Delhi,13-02-2026
ACC0259,Inbound,Voice Solution,Proposal,Yes,992711,Manager C,Bangalore,07-03-2026
ACC0260,Inbound,Voice Solution,Closed Won,Yes,2183820,Manager E,Delhi,19-05-2026
ACC0261,Referral,Sherpa AI,Discovery,Yes,852932,Manager A,Mumbai,10-07-2026
ACC0262,LinkedIn,Voice Solution,Proposal,Yes,1552303,Manager B,Hyderabad,15-11-2025
ACC0263,Inbound,Sherpa AI,Closed Lost,No,1639563,Manager A,Pune,14-06-2026
ACC0264,LinkedIn,Sherpa AI,Discovery,Yes,1433986,Manager D,Mumbai,13-02-2026
ACC0265,LinkedIn,Sherpa AI,Closed Won,No,688843,Manager C,Mumbai,21-06-2026
ACC0266,Partner,Sherpa AI,Proposal,Yes,2260147,Manager F,Bangalore,07-06-2026
ACC0267,Outbound,Voice Solution,Qualified,Yes,2141836,Manager D,Bangalore,09-05-2026
ACC0268,Outbound,Voice Solution,Closed Won,Yes,1751141,Manager C,Mumbai,17-05-2026
ACC0269,Outbound,Voice Solution,Discovery,No,1775209,Manager D,Mumbai,09-12-2025
ACC0270,LinkedIn,Voice Solution,Negotiation,Yes,1506831,Manager E,Chennai,11-04-2026
ACC0271,Partner,Sherpa AI,Qualified,Yes,1738266,Manager C,Chennai,01-03-2026
ACC0272,Referral,Sherpa AI,Closed Lost,Yes,2120256,Manager F,Hyderabad,04-06-2026
ACC0273,Referral,Voice Solution,Discovery,No,1403375,Manager C,Mumbai,19-12-2025
ACC0274,Outbound,Voice Solution,Discovery,No,1534467,Manager D,Delhi,31-01-2026
ACC0275,Referral,Voice Solution,Qualified,Yes,1321381,Manager B,Pune,09-03-2026
ACC0276,Partner,Voice Solution,Closed Lost,Yes,2451646,Manager D,Chennai,28-11-2025
ACC0277,Outbound,Voice Solution,Negotiation,No,2238897,Manager C,Bangalore,28-03-2026
ACC0278,Partner,Voice Solution,Negotiation,No,966555,Manager C,Mumbai,04-01-2026
ACC0279,Referral,Sherpa AI,Proposal,No,807395,Manager B,Delhi,06-06-2026
ACC0280,Outbound,Voice Solution,Proposal,No,1069966,Manager A,Pune,21-12-2025
ACC0281,Partner,Sherpa AI,Qualified,No,2190865,Manager B,Delhi,13-01-2026
ACC0282,Event,Sherpa AI,Proposal,Yes,219097,Manager A,Delhi,18-05-2026
ACC0283,Event,Sherpa AI,Discovery,No,1196878,Manager F,Bangalore,11-05-2026
ACC0284,Partner,Voice Solution,Closed Lost,No,1795425,Manager C,Chennai,08-05-2026
ACC0285,Partner,Sherpa AI,Closed Won,Yes,1880915,Manager E,Delhi,12-11-2025
ACC0286,Inbound,Sherpa AI,Demo,Yes,2033606,Manager E,Pune,27-06-2026
ACC0287,Inbound,Voice Solution,Qualified,No,887670,Manager D,Chennai,20-01-2026
ACC0288,LinkedIn,Voice Solution,Closed Won,Yes,1360505,Manager B,Hyderabad,18-12-2025
ACC0289,Outbound,Sherpa AI,Qualified,No,681481,Manager B,Bangalore,28-05-2026
ACC0290,LinkedIn,Voice Solution,Discovery,Yes,1462061,Manager E,Chennai,05-12-2025
ACC0291,LinkedIn,Voice Solution,Discovery,Yes,594285,Manager A,Chennai,27-02-2026
ACC0292,Referral,Voice Solution,Proposal,Yes,674662,Manager B,Delhi,04-01-2026
