call id,customer id,product,channel,followup channel,region,language,sentiment,call duration mins,ai accuracy percent,conversion,call outcome,call time
CALL00035,CONT00722,Voice Solution,Voice,WhatsApp,Pune,Marathi,Neutral,0.9,88.42,0,Not Connected,30-06-2026 09:56
CALL00036,CONT00495,Voice Solution,Voice,Email,Hyderabad,Telugu,Neutral,22.72,90.79,0,Connected,23-12-2025 17:56
CALL00037,CONT00361,Voice Solution,Voice,Email,Pune,Telugu,Neutral,10.71,98.57,0,Connected,31-01-2026 13:58
CALL00038,CONT00338,Voice Solution,Voice,None,Hyderabad,Marathi,Negative,9.04,88.37,1,Connected,05-12-2025 18:06
CALL00039,CONT00579,Voice Solution,Voice,None,Mumbai,Marathi,Neutral,7.28,95.83,0,Connected,25-05-2026 15:54
CALL00040,CONT00010,Voice Solution,Voice,Email,Hyderabad,Kannada,Positive,5.11,84.3,0,Connected,20-01-2026 13:41
CALL00041,CONT00049,Voice Solution,Voice,WhatsApp,Mumbai,Tamil,Negative,0.91,86.02,0,Not Connected,20-12-2025 08:22
CALL00042,CONT00487,Voice Solution,Voice,None,Mumbai,Marathi,Neutral,7.02,91.44,0,Connected,02-11-2025 20:23
CALL00043,CONT00623,Voice Solution,Voice,Email,Delhi,Hindi,Positive,2.48,89.51,0,Connected,24-12-2025 14:53
CALL00044,CONT00321,Voice Solution,Voice,None,Pune,Telugu,Neutral,8.99,86.86,1,Connected,14-02-2026 08:05
CALL00045,CONT00731,Voice Solution,Voice,None,Bangalore,Tamil,Positive,7.51,86.72,1,Connected,18-07-2026 09:38
CALL00046,CONT00569,Voice Solution,Voice,WhatsApp,Mumbai,English,Negative,16.21,95.17,1,Connected,10-05-2026 11:24
CALL00047,CONT00795,Voice Solution,Voice,None,Pune,Kannada,Positive,0.58,87.06,0,Connected,06-06-2026 11:09
CALL00048,CONT00625,Voice Solution,Voice,WhatsApp,Chennai,Tamil,Negative,11.8,83.4,0,Connected,14-12-2025 08:29
CALL00049,CONT00133,Voice Solution,Voice,WhatsApp,Hyderabad,Marathi,Negative,7.67,84.23,0,Connected,11-04-2026 08:40
CALL00050,CONT00583,Voice Solution,Voice,Email,Chennai,Telugu,Neutral,1.98,91.85,1,Connected,21-05-2026 19:04
CALL00051,CONT00083,Voice Solution,Voice,WhatsApp,Hyderabad,Telugu,Neutral,8.56,99.78,1,Connected,03-06-2026 09:28
CALL00052,CONT00057,Voice Solution,Voice,None,Delhi,Telugu,Positive,0.99,85.88,0,Not Connected,10-07-2026 12:24
CALL00053,CONT00376,Voice Solution,Voice,WhatsApp,Mumbai,Tamil,Positive,4.99,99.24,1,Connected,09-05-2026 11:18
CALL00054,CONT00349,Voice Solution,Voice,WhatsApp,Bangalore,Telugu,Positive,0.96,88.45,0,Not Connected,01-06-2026 14:57
CALL00055,CONT00271,Voice Solution,Voice,Email,Mumbai,Marathi,Neutral,13.05,87.1,0,Connected,27-05-2026 20:56
CALL00056,CONT00483,Voice Solution,Voice,None,Hyderabad,Tamil,Neutral,11.26,83.95,0,Connected,25-06-2026 15:45
CALL00057,CONT00111,Voice Solution,Voice,None,Bangalore,Telugu,Positive,7.16,87.51,0,Connected,23-12-2025 18:27
CALL00058,CONT00869,Voice Solution,Voice,None,Mumbai,English,Positive,10.42,84.72,1,Connected,05-06-2026 16:15
CALL00059,CONT00887,Voice Solution,Voice,Email,Bangalore,English,Negative,11.28,84.32,1,Connected,10-07-2026 09:20
CALL00060,CONT00076,Voice Solution,Voice,WhatsApp,Hyderabad,Hindi,Positive,19.83,80.24,1,Connected,07-05-2026 19:29
CALL00061,CONT00158,Voice Solution,Voice,WhatsApp,Delhi,Telugu,Negative,6.64,97.33,0,Connected,11-12-2025 11:23
CALL00062,CONT00532,Voice Solution,Voice,WhatsApp,Delhi,Telugu,Positive,0.72,93.82,0,Voicemail,06-04-2026 14:11
CALL00063,CONT00933,Voice Solution,Voice,Email,Mumbai,Tamil,Neutral,15.58,89.86,1,Connected,15-11-2025 13:25
CALL00064,CONT00643,Voice Solution,Voice,Email,Chennai,Tamil,Positive,14.18,87.78,1,Connected,04-01-2026 16:02
CALL00065,CONT00329,Voice Solution,Voice,WhatsApp,Hyderabad,Telugu,Neutral,0.89,88.47,1,Connected,09-11-2025 12:39
CALL00066,CONT00122,Voice Solution,Voice,None,Mumbai,Hindi,Neutral,0.26,84.62,0,Not Connected,09-03-2026 20:26
CALL00067,CONT00041,Voice Solution,Voice,Email,Mumbai,Telugu,Positive,10.85,82.83,1,Connected,16-03-2026 18:19
CALL00068,CONT00167,Voice Solution,Voice,WhatsApp,Delhi,Marathi,Neutral,3.92,92.09,1,Connected,02-01-2026 10:27
CALL00069,CONT00922,Voice Solution,Voice,WhatsApp,Bangalore,Tamil,Neutral,4.02,87.19,1,Connected,19-03-2026 14:41
CALL00070,CONT00642,Voice Solution,Voice,None,Hyderabad,Telugu,Neutral,7.8,90.13,0,Connected,20-01-2026 09:10
CALL00071,CONT00023,Voice Solution,Voice,None,Bangalore,Tamil,Neutral,11.93,80.19,0,Connected,12-04-2026 11:05
CALL00072,CONT00279,Voice Solution,Voice,None,Pune,Telugu,Positive,0.37,86.92,0,Not Connected,19-06-2026 12:10
CALL00073,CONT00763,Voice Solution,Voice,WhatsApp,Pune,Kannada,Neutral,9.31,82.73,1,Connected,11-12-2025 10:13
CALL00074,CONT00469,Voice Solution,Voice,None,Hyderabad,Tamil,Negative,1.56,90.92,1,Connected,28-11-2025 12:58
CALL00075,CONT00400,Voice Solution,Voice,WhatsApp,Chennai,Hindi,Negative,5.66,93.48,1,Connected,15-03-2026 19:36
CALL00076,CONT00009,Voice Solution,Voice,WhatsApp,Pune,Kannada,Negative,17.37,95.8,1,Connected,20-05-2026 16:09
CALL00077,CONT00013,Voice Solution,Voice,None,Delhi,Marathi,Positive,1.18,85.36,0,Connected,03-12-2025 17:31
CALL00078,CONT00924,Voice Solution,Voice,WhatsApp,Chennai,Telugu,Neutral,10.98,82.86,0,Connected,18-12-2025 09:52
CALL00079,CONT00923,Voice Solution,Voice,Email,Mumbai,Marathi,Neutral,12.25,86.41,0,Connected,01-01-2026 18:01
CALL00080,CONT00819,Voice Solution,Voice,WhatsApp,Pune,Tamil,Positive,10.66,85,1,Connected,04-06-2026 15:05
CALL00081,CONT00832,Voice Solution,Voice,Email,Delhi,Kannada,Neutral,3.85,90.66,0,Connected,07-02-2026 13:23
CALL00082,CONT00052,Voice Solution,Voice,None,Mumbai,Marathi,Neutral,11.01,81.49,1,Connected,21-04-2026 18:21
CALL00083,CONT00209,Voice Solution,Voice,WhatsApp,Chennai,Hindi,Positive,22.22,79.73,1,Connected,02-06-2026 12:57
CALL00084,CONT00550,Voice Solution,Voice,Email,Hyderabad,Tamil,Positive,0.13,86.77,0,Not Connected,05-12-2025 08:10
CALL00085,CONT00612,Voice Solution,Voice,WhatsApp,Mumbai,Kannada,Neutral,8.88,92.13,0,Connected,15-06-2026 14:02
CALL00086,CONT00705,Voice Solution,Voice,Email,Bangalore,Marathi,Positive,6.16,83.36,0,Connected,09-02-2026 14:41
CALL00087,CONT00402,Voice Solution,Voice,WhatsApp,Hyderabad,Kannada,Positive,0.38,92.75,0,Not Connected,11-03-2026 10:36
CALL00088,CONT00191,Voice Solution,Voice,WhatsApp,Hyderabad,Kannada,Positive,8.5,90.33,0,Connected,15-07-2026 17:50
CALL00089,CONT00051,Voice Solution,Voice,WhatsApp,Chennai,Marathi,Positive,1.01,96.23,0,Not Connected,05-11-2025 16:35
CALL00090,CONT00393,Voice Solution,Voice,WhatsApp,Chennai,English,Negative,12.95,84.49,0,Connected,06-06-2026 11:43
CALL00091,CONT00653,Voice Solution,Voice,None,Delhi,Telugu,Neutral,0.41,80.47,0,Voicemail,13-07-2026 12:35
CALL00092,CONT00680,Voice Solution,Voice,WhatsApp,Delhi,Tamil,Neutral,2.22,91.49,0,Connected,26-05-2026 16:17
CALL00093,CONT00823,Voice Solution,Voice,WhatsApp,Bangalore,Tamil,Negative,3.62,89.9,0,Connected,15-11-2025 08:49
CALL00094,CONT00621,Voice Solution,Voice,WhatsApp,Hyderabad,Tamil,Neutral,4.66,89.51,0,Connected,12-12-2025 16:48
CALL00095,CONT00719,Voice Solution,Voice,WhatsApp,Bangalore,Kannada,Positive,0.77,83.26,0,Not Connected,28-04-2026 13:44
CALL00096,CONT00939,Voice Solution,Voice,None,Bangalore,Marathi,Neutral,0.12,92.38,0,Not Connected,02-01-2026 14:31
CALL00097,CONT00300,Voice Solution,Voice,None,Chennai,Telugu,Positive,7.56,85.33,1,Connected,19-06-2026 11:30
CALL00098,CONT00622,Voice Solution,Voice,WhatsApp,Bangalore,Hindi,Positive,14.68,89.51,1,Connected,29-06-2026 19:23
CALL00099,CONT00196,Voice Solution,Voice,None,Bangalore,Tamil,Neutral,0.44,86.2,0,Not Connected,22-12-2025 15:55
CALL00100,CONT00417,Voice Solution,Voice,Email,Mumbai,Marathi,Neutral,6.89,90.27,0,Connected,04-02-2026 09:50
CALL00101,CONT00664,Voice Solution,Voice,WhatsApp,Delhi,Telugu,Neutral,0.37,82.52,0,Not Connected,10-06-2026 20:22
CALL00102,CONT00420,Voice Solution,Voice,Email,Delhi,Telugu,Negative,0.58,91,0,Not Connected,19-06-2026 12:15
CALL00103,CONT00755,Voice Solution,Voice,Email,Hyderabad,English,Neutral,6.94,91.79,1,Connected,25-06-2026 10:06
CALL00104,CONT00640,Voice Solution,Voice,Email,Delhi,Marathi,Neutral,16.06,89.08,1,Connected,23-03-2026 15:35
CALL00105,CONT00617,Voice Solution,Voice,None,Pune,Tamil,Negative,3.7,96.72,0,Connected,20-04-2026 15:58
CALL00106,CONT00522,Voice Solution,Voice,WhatsApp,Hyderabad,Kannada,Positive,11.74,89.54,1,Connected,29-11-2025 11:48
CALL00107,CONT00356,Voice Solution,Voice,None,Mumbai,Telugu,Positive,1.02,93.09,0,Not Connected,06-12-2025 10:35
CALL00108,CONT00148,Voice Solution,Voice,None,Delhi,Telugu,Neutral,3.89,88.96,1,Connected,13-11-2025 12:13
CALL00109,CONT00365,Voice Solution,Voice,Email,Mumbai,Hindi,Neutral,0.34,92.65,0,Not Connected,09-04-2026 20:21
CALL00110,CONT00364,Voice Solution,Voice,Email,Delhi,English,Positive,12.62,80.83,1,Connected,06-05-2026 10:21
CALL00111,CONT00652,Voice Solution,Voice,WhatsApp,Delhi,Telugu,Positive,0.48,88.66,0,Voicemail,01-07-2026 08:09
CALL00112,CONT00702,Voice Solution,Voice,None,Mumbai,Telugu,Positive,2.52,82.87,1,Connected,25-01-2026 18:18
CALL00113,CONT00402,Voice Solution,Voice,Email,Bangalore,Kannada,Neutral,1.38,89.2,0,Connected,05-01-2026 16:10
CALL00114,CONT00606,Voice Solution,Voice,WhatsApp,Bangalore,Kannada,Neutral,8.63,90.42,1,Connected,19-04-2026 10:46
CALL00115,CONT00492,Voice Solution,Voice,WhatsApp,Bangalore,Hindi,Negative,0.51,92.54,0,Not Connected,15-12-2025 15:43
CALL00116,CONT00229,Voice Solution,Voice,Email,Pune,Marathi,Neutral,6.27,90.95,1,Connected,01-01-2026 16:19
CALL00117,CONT00575,Voice Solution,Voice,WhatsApp,Bangalore,Hindi,Neutral,0.49,86.82,0,Not Connected,14-03-2026 11:51
CALL00118,CONT00852,Voice Solution,Voice,WhatsApp,Delhi,Hindi,Neutral,3.2,84.73,0,Connected,28-11-2025 09:03
CALL00119,CONT00537,Voice Solution,Voice,Email,Chennai,Kannada,Positive,2.76,76.79,0,Connected,16-02-2026 16:29
CALL00120,CONT00268,Voice Solution,Voice,WhatsApp,Mumbai,Marathi,Positive,6.85,88.84,0,Connected,14-12-2025 19:06
CALL00121,CONT00405,Voice Solution,Voice,WhatsApp,Chennai,Kannada,Neutral,6.37,94.19,1,Connected,08-03-2026 19:36
CALL00122,CONT00793,Voice Solution,Voice,WhatsApp,Pune,English,Positive,9.17,89.04,0,Connected,19-06-2026 12:32
CALL00123,CONT00011,Voice Solution,Voice,WhatsApp,Chennai,Tamil,Neutral,0.5,88.08,0,Voicemail,09-05-2026 20:31
CALL00124,CONT00320,Voice Solution,Voice,Email,Hyderabad,Tamil,Neutral,0.76,89.22,0,Voicemail,13-06-2026 16:13
CALL00125,CONT00713,Voice Solution,Voice,Email,Bangalore,English,Positive,1.04,86.56,0,Not Connected,01-03-2026 10:20
CALL00126,CONT00126,Voice Solution,Voice,WhatsApp,Pune,Tamil,Negative,0.45,89.47,0,Not Connected,24-02-2026 11:36
CALL00127,CONT00306,Voice Solution,Voice,WhatsApp,Delhi,Marathi,Neutral,12.88,86.48,1,Connected,21-06-2026 17:10
CALL00128,CONT00702,Voice Solution,Voice,Email,Bangalore,Kannada,Positive,16.38,84.01,1,Connected,17-07-2026 13:31
CALL00129,CONT00511,Voice Solution,Voice,WhatsApp,Bangalore,Tamil,Neutral,6.84,88.12,1,Connected,17-05-2026 13:02
CALL00130,CONT00089,Voice Solution,Voice,WhatsApp,Chennai,Marathi,Neutral,1.07,88.01,0,Not Connected,17-03-2026 10:56
CALL00131,CONT00355,Voice Solution,Voice,WhatsApp,Hyderabad,Kannada,Positive,5.77,97.88,1,Connected,14-04-2026 18:18
CALL00132,CONT00628,Voice Solution,Voice,None,Bangalore,Marathi,Positive,9.69,84.47,1,Connected,13-06-2026 19:03
CALL00133,CONT00352,Voice Solution,Voice,None,Mumbai,English,Neutral,8.15,87.7,1,Connected,22-06-2026 14:49
CALL00134,CONT00689,Voice Solution,Voice,None,Mumbai,Hindi,Negative,39.42,87.22,0,Connected,21-04-2026 08:57
CALL00135,CONT00014,Voice Solution,Voice,None,Bangalore,English,Neutral,0.7,86.26,0,Not Connected,01-04-2026 11:31
CALL00136,CONT00257,Voice Solution,Voice,Email,Chennai,Tamil,Negative,0.64,91.07,0,Not Connected,09-04-2026 11:00
CALL00137,CONT00209,Voice Solution,Voice,Email,Chennai,Kannada,Neutral,10.51,99.69,1,Connected,04-02-2026 17:05
CALL00138,CONT00281,Voice Solution,Voice,Email,Delhi,Marathi,Positive,0.64,86.9,0,Voicemail,21-06-2026 13:35
CALL00139,CONT00443,Voice Solution,Voice,WhatsApp,Pune,Tamil,Neutral,2.02,91.08,0,Connected,29-04-2026 08:34
CALL00140,CONT00840,Voice Solution,Voice,Email,Pune,Tamil,Positive,15.23,78.94,1,Connected,21-02-2026 20:21
CALL00141,CONT00837,Voice Solution,Voice,None,Pune,Hindi,Positive,6.72,86.53,1,Connected,22-12-2025 17:25
CALL00142,CONT00389,Voice Solution,Voice,Email,Hyderabad,Tamil,Neutral,5.44,96.28,1,Connected,21-02-2026 14:55
CALL00143,CONT00617,Voice Solution,Voice,WhatsApp,Chennai,Hindi,Neutral,8,88.23,0,Connected,09-02-2026 17:00
CALL00144,CONT00483,Voice Solution,Voice,WhatsApp,Delhi,Kannada,Positive,0.25,91.01,0,Voicemail,21-02-2026 17:40
CALL00145,CONT00147,Voice Solution,Voice,Email,Mumbai,Kannada,Negative,2.7,85.39,1,Connected,20-01-2026 17:08
CALL00146,CONT00279,Voice Solution,Voice,Email,Pune,Marathi,Neutral,0.53,89.79,0,Not Connected,06-05-2026 19:16
CALL00147,CONT00521,Voice Solution,Voice,None,Mumbai,Hindi,Negative,15.17,96.66,1,Connected,21-02-2026 15:01
CALL00148,CONT00630,Voice Solution,Voice,WhatsApp,Mumbai,English,Positive,6.82,82.7,0,Connected,02-11-2025 14:49
CALL00149,CONT00606,Voice Solution,Voice,None,Bangalore,Kannada,Negative,4.58,99.43,0,Connected,10-03-2026 17:50
CALL00150,CONT00434,Voice Solution,Voice,Email,Hyderabad,Marathi,Positive,6.58,80.77,0,Connected,08-06-2026 09:14
CALL00151,CONT00144,Voice Solution,Voice,None,Delhi,English,Positive,8.82,86.07,0,Connected,24-12-2025 12:12
CALL00152,CONT00289,Voice Solution,Voice,Email,Hyderabad,Kannada,Neutral,0.41,84.32,0,Not Connected,12-06-2026 14:38
CALL00153,CONT00386,Voice Solution,Voice,Email,Bangalore,Kannada,Neutral,9.45,87.14,0,Connected,13-06-2026 10:32
CALL00154,CONT00014,Voice Solution,Voice,Email,Delhi,Marathi,Neutral,5.95,84.26,0,Connected,06-03-2026 16:51
CALL00155,CONT00257,Voice Solution,Voice,None,Delhi,Marathi,Neutral,7.68,83.88,1,Connected,10-03-2026 19:59
CALL00156,CONT00346,Voice Solution,Voice,None,Chennai,Telugu,Positive,6.4,82.57,0,Connected,23-12-2025 19:56
CALL00157,CONT00698,Voice Solution,Voice,WhatsApp,Hyderabad,Tamil,Neutral,10.29,91.72,1,Connected,21-04-2026 08:30
CALL00158,CONT00345,Voice Solution,Voice,WhatsApp,Hyderabad,Tamil,Positive,8.06,87.31,1,Connected,06-06-2026 20:30
CALL00159,CONT00400,Voice Solution,Voice,None,Chennai,English,Neutral,2.37,86,0,Connected,09-04-2026 19:38
CALL00160,CONT00207,Voice Solution,Voice,Email,Mumbai,Tamil,Positive,10.19,89.91,0,Connected,17-05-2026 16:55
CALL00161,CONT00858,Voice Solution,Voice,Email,Bangalore,English,Negative,10.3,81.03,0,Connected,05-07-2026 18:26
CALL00162,CONT00172,Voice Solution,Voice,Email,Hyderabad,Kannada,Neutral,32.03,90.03,1,Connected,22-05-2026 08:13
CALL00163,CONT00464,Voice Solution,Voice,WhatsApp,Chennai,Telugu,Neutral,24.23,88.03,0,Connected,03-05-2026 19:22
CALL00164,CONT00270,Voice Solution,Voice,None,Delhi,Telugu,Negative,11,88.18,0,Connected,03-03-2026 16:15
CALL00165,CONT00221,Voice Solution,Voice,None,Pune,Kannada,Neutral,0.45,91.1,0,Not Connected,13-07-2026 17:37
CALL00166,CONT00152,Voice Solution,Voice,WhatsApp,Chennai,Marathi,Positive,4.38,96.72,0,Connected,06-02-2026 12:02
CALL00167,CONT00623,Voice Solution,Voice,WhatsApp,Pune,Hindi,Positive,8.52,90.11,0,Connected,17-05-2026 14:44
CALL00168,CONT00183,Voice Solution,Voice,None,Mumbai,Hindi,Neutral,3.81,87.5,1,Connected,28-06-2026 12:08
CALL00169,CONT00399,Voice Solution,Voice,WhatsApp,Bangalore,Tamil,Positive,0.23,82.59,0,Voicemail,24-03-2026 12:25
CALL00170,CONT00851,Voice Solution,Voice,None,Pune,Marathi,Neutral,1.04,76.55,1,Connected,05-02-2026 18:36
CALL00171,CONT00072,Voice Solution,Voice,WhatsApp,Mumbai,English,Positive,13.21,89.14,1,Connected,20-05-2026 19:37
CALL00172,CONT00418,Voice Solution,Voice,Email,Pune,Telugu,Positive,0.88,82.2,0,Not Connected,04-03-2026 18:05
CALL00173,CONT00898,Voice Solution,Voice,None,Delhi,Tamil,Neutral,27.85,75.8,0,Connected,06-05-2026 17:29
CALL00174,CONT00283,Voice Solution,Voice,Email,Delhi,Kannada,Negative,3.46,86.75,1,Connected,17-07-2026 11:13
CALL00175,CONT00074,Voice Solution,Voice,WhatsApp,Delhi,Marathi,Neutral,2.13,89.7,0,Connected,28-03-2026 19:07
CALL00176,CONT00355,Voice Solution,Voice,Email,Delhi,Telugu,Negative,19.25,92.22,1,Connected,10-07-2026 12:48
CALL00177,CONT00727,Voice Solution,Voice,WhatsApp,Chennai,English,Negative,0.82,93.81,0,Voicemail,27-03-2026 15:36
CALL00178,CONT00497,Voice Solution,Voice,WhatsApp,Delhi,English,Positive,0.51,92.88,0,Not Connected,28-03-2026 20:05
CALL00179,CONT00328,Voice Solution,Voice,None,Delhi,Hindi,Positive,12.76,93.01,0,Connected,18-05-2026 11:56
CALL00180,CONT00535,Voice Solution,Voice,None,Chennai,Tamil,Neutral,3.75,81.16,1,Connected,08-03-2026 12:24
CALL00181,CONT00580,Voice Solution,Voice,Email,Delhi,Kannada,Negative,12.16,87.75,0,Connected,09-12-2025 10:17
CALL00182,CONT00910,Voice Solution,Voice,WhatsApp,Mumbai,Telugu,Neutral,3.02,91.4,0,Connected,09-03-2026 10:00
CALL00183,CONT00447,Voice Solution,Voice,WhatsApp,Mumbai,English,Negative,0.29,88.73,0,Not Connected,31-03-2026 08:12
CALL00184,CONT00373,Voice Solution,Voice,WhatsApp,Hyderabad,Telugu,Positive,6.13,87.72,1,Connected,07-02-2026 20:56
CALL00185,CONT00362,Voice Solution,Voice,Email,Mumbai,Kannada,Positive,9.43,88.64,0,Connected,10-07-2026 11:09
CALL00186,CONT00093,Voice Solution,Voice,None,Bangalore,Telugu,Neutral,9.67,89.73,1,Connected,24-03-2026 13:04
CALL00187,CONT00321,Voice Solution,Voice,Email,Bangalore,Tamil,Neutral,25.39,88.12,0,Connected,20-02-2026 16:27
CALL00188,CONT00324,Voice Solution,Voice,None,Bangalore,Hindi,Positive,11.36,84.27,0,Connected,30-12-2025 15:16
CALL00189,CONT00384,Voice Solution,Voice,WhatsApp,Chennai,Telugu,Positive,15.63,79.99,1,Connected,02-11-2025 19:54
CALL00190,CONT00575,Voice Solution,Voice,WhatsApp,Mumbai,Marathi,Positive,1.02,87.48,0,Voicemail,12-07-2026 10:07
CALL00191,CONT00736,Voice Solution,Voice,WhatsApp,Bangalore,Hindi,Neutral,7.42,88.79,1,Connected,20-03-2026 13:14
CALL00192,CONT00737,Voice Solution,Voice,WhatsApp,Hyderabad,Kannada,Negative,6.53,88.73,0,Connected,07-12-2025 15:03
CALL00193,CONT00881,Voice Solution,Voice,WhatsApp,Chennai,Hindi,Negative,6.51,93.26,0,Connected,09-04-2026 15:24
CALL00194,CONT00346,Voice Solution,Voice,None,Hyderabad,Telugu,Neutral,12.56,94.15,1,Connected,09-11-2025 14:49
CALL00195,CONT00849,Voice Solution,Voice,WhatsApp,Mumbai,Telugu,Neutral,1.01,87.98,0,Not Connected,21-06-2026 16:00
CALL00196,CONT00103,Voice Solution,Voice,None,Delhi,Marathi,Neutral,0.98,88.02,0,Not Connected,07-02-2026 10:11
CALL00197,CONT00215,Voice Solution,Voice,WhatsApp,Hyderabad,English,Positive,6.39,91.37,1,Connected,27-03-2026 10:01
CALL00198,CONT00192,Voice Solution,Voice,None,Delhi,Marathi,Positive,14.16,90.63,1,Connected,27-05-2026 17:21
CALL00199,CONT00672,Voice Solution,Voice,Email,Chennai,Telugu,Positive,5.42,86.29,0,Connected,11-03-2026 10:50
CALL00200,CONT00884,Voice Solution,Voice,None,Hyderabad,Hindi,Neutral,18.18,91.8,1,Connected,01-04-2026 18:24
CALL00201,CONT00719,Voice Solution,Voice,WhatsApp,Hyderabad,Marathi,Negative,5.79,87.77,0,Connected,24-12-2025 17:38
CALL00202,CONT00781,Voice Solution,Voice,None,Pune,Marathi,Neutral,0.63,87.87,0,Not Connected,28-02-2026 12:56
CALL00203,CONT00194,Voice Solution,Voice,None,Chennai,English,Neutral,13.83,90.67,1,Connected,10-04-2026 20:24
CALL00204,CONT00380,Voice Solution,Voice,WhatsApp,Chennai,Telugu,Positive,5.81,86.99,0,Connected,24-02-2026 12:54
CALL00205,CONT00403,Voice Solution,Voice,WhatsApp,Bangalore,Telugu,Neutral,15.09,88.97,1,Connected,14-01-2026 13:00
